reaction	keff
SUCCt2_2pp	65
SUCDi	65
SUCOAS	65
SUCptspp	65
SULFACabcpp	65
SULR	65
SULabcpp	65
TALA	65
TARTRDtex	65
TARTRt7pp	65
TAUDO	65
TAURabcpp	65
TDPAGTA	65
TDPDRE	65
TDPDRR	65
TDPGDH	65
TDSK	65
TDSR1	65
TDSR2	65
TGBPA	65
THD2pp	65
THDPS	65
THFAT	65
THIORDXi	65
THMabcpp	65
THRA	65
THRA2	65
THRD	65
THRD_L	65
THRS	65
THRabcpp	65
THRt2pp	65
THRt2rpp	65
THRt4pp	65
THZPSN3	65
TKT1	65
TKT2	65
TMAOR2pp	65
TMDK1	65
TMDS	65
TMK	65
TMPK	65
TMPPP	65
TPI	65
TRDR	65
TRE6PP	65
TREptspp	65
TRPAS2	65
TRPS1	65
TRPS2	65
TRPS3	65
TRPt2rpp	65
TRPtipp	65
TRSARr	65
TSULabcpp	65
TTDCAtexi	65
TTDCEAtexi	65
TTRCYCtex	65
TTRCYCtpp	65
TUNGSabcpp	65
TUNGStex	65
TYRL	65
TYRTA	65
TYRt2rpp	65
TYRtipp	65
U23GAAT	65
UAAGDS	65
UACGALPpp	65
UACGAMPpp	65
UACMAMO	65
UAG2E	65
UAGAAT	65
UAGCVT	65
UAGDP	65
UAGPT3	65
UAMAGS	65
UAMAS	65
UAPGR	65
UDCPDP	65
UDCPDPS	65
UDCPDPpp	65
UDPG4E	65
UDPGALPpp	65
UDPGD	65
UDPGPT	65
UDPGPpp	65
UDPKAAT	65
UGLCURPpp	65
UGMDDS	65
UHGADA	65
UM3PL	65
UM4PCP	65
UM4PL	65
UMPK	65
UPLA4FNT	65
UPP3MT	65
UPP3S	65
UPPDC1	65
UPPRT	65
URATEtpp	65
URAt2pp	65
URCN	65
UREASE	65
UREAtpp	65
URIC	65
USHD	65
VALTA	65
VALabcpp	65
VPAMTr	65
WCOS	65
XAND	65
XANt2pp	65
XPPT	65
XTSNt2rpp	65
XTSNtex	65
XYHDL	65
XYLK	65
XYLK2	65
XYLUt2pp	65
XYLabcpp	65
XYLt2pp	65
ZN2abcpp	65
ZN2t3pp	65
ZN2tpp	65
ZNabcpp	65
