Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
EWS79_RS06270-MONOMER	EWS79_RS06270	bacterioferritin	CCI-CYTOSOL-GN
EWS79_RS07080-MONOMER	EWS79_RS07080	bacterioferritin	CCI-CYTOSOL-GN
EWS79_RS01080-MONOMER	EWS79_RS01080	BapA prefix-like domain-containing protein	
EWS79_RS06015-MONOMER	EWS79_RS06015	Bax inhibitor-1/YccA family protein	CCI-PM-BAC-NEG-GN
EWS79_RS02120-MONOMER	EWS79_RS02120	Bcr/CflA family efflux MFS transporter	CCI-PM-BAC-NEG-GN
EWS79_RS04005-MONOMER	EWS79_RS04005	beta-galactosidase	
EWS79_RS05700-MONOMER	EWS79_RS05700	beta-ketoacyl-[acyl-carrier-protein] synthase II	CCI-CYTOSOL-GN
EWS79_RS05230-MONOMER	EWS79_RS05230	beta-N-acetylhexosaminidase	
EWS79_RS00355-MONOMER	EWS79_RS00355	bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase	CCI-CYTOSOL-GN
EWS79_RS05025-MONOMER	EWS79_RS05025	bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	CCI-CYTOSOL-GN
EWS79_RS07395-MONOMER	EWS79_RS07395	bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG	CCI-CYTOSOL-GN
EWS79_RS05270-MONOMER	EWS79_RS05270	bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	
EWS79_RS07525-MONOMER	EWS79_RS07525	bifunctional aspartate transaminase/aspartate 4-decarboxylase	CCI-CYTOSOL-GN
EWS79_RS05315-MONOMER	EWS79_RS05315	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE	
EWS79_RS02025-MONOMER	EWS79_RS02025	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	
EWS79_RS04700-MONOMER	EWS79_RS04700	bifunctional diguanylate cyclase/phosphodiesterase	
EWS79_RS05305-MONOMER	EWS79_RS05305	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase	CCI-CYTOSOL-GN
EWS79_RS02565-MONOMER	EWS79_RS02565	bifunctional folylpolyglutamate synthase/dihydrofolate synthase	
EWS79_RS04100-MONOMER	EWS79_RS04100	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ	
EWS79_RS04470-MONOMER	EWS79_RS04470	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	
EWS79_RS04055-MONOMER	EWS79_RS04055	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	
EWS79_RS05325-MONOMER	EWS79_RS05325	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	
EWS79_RS00130-MONOMER	EWS79_RS00130	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	
EWS79_RS01365-MONOMER	EWS79_RS01365	bifunctional riboflavin kinase/FAD synthetase	CCI-CYTOSOL-GN
EWS79_RS02140-MONOMER	EWS79_RS02140	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	
EWS79_RS00665-MONOMER	EWS79_RS00665	biopolymer transporter ExbB	CCI-PM-BAC-NEG-GN
EWS79_RS07685-MONOMER	EWS79_RS07685	biopolymer transporter ExbD	CCI-PM-BAC-NEG-GN
EWS79_RS07680-MONOMER	EWS79_RS07680	biopolymer transporter ExbD	CCI-PM-BAC-NEG-GN
CPLX1W2W-9	EWS79_RS05085 // EWS79_RS05080	biosynthetic-type acetolactate synthase	
EWS79_RS05080-MONOMER	EWS79_RS05080	biosynthetic-type acetolactate synthase large subunit	CCI-CYTOSOL-GN
EWS79_RS00385-MONOMER	EWS79_RS00385	biotin synthase	
EWS79_RS07805-MONOMER	EWS79_RS07805	biotin transporter BioY	
EWS79_RS08425-MONOMER	EWS79_RS08425	biotin--[acetyl-CoA-carboxylase] ligase	
EWS79_RS08455-MONOMER	EWS79_RS08455	BolA family transcriptional regulator	
EWS79_RS06895-MONOMER	EWS79_RS06895	BolA family transcriptional regulator	
EWS79_RS04050-MONOMER	EWS79_RS04050	branched-chain amino acid aminotransferase	
EWS79_RS05715-MONOMER	EWS79_RS05715	c-type cytochrome	
EWS79_RS05065-MONOMER	EWS79_RS05065	c-type cytochrome	
EWS79_RS04615-MONOMER	EWS79_RS04615	calcium-binding protein	
EWS79_RS08695-MONOMER	EWS79_RS08695	capsular biosynthesis protein	
EWS79_RS01310-MONOMER	EWS79_RS01310	capsular polysaccharide biosynthesis protein	
EWS79_RS05785-MONOMER	EWS79_RS05785	capsular polysaccharide biosynthesis protein	
EWS79_RS05780-MONOMER	EWS79_RS05780	capsule biosynthesis phosphatase	
EWS79_RS07215-MONOMER	EWS79_RS07215	carbamoyl-phosphate synthase small subunit	CCI-CYTOSOL-GN
EWS79_RS00265-MONOMER	EWS79_RS00265	carbohydrate porin	
EWS79_RS08355-MONOMER	EWS79_RS08355	carbohydrate porin	
EWS79_RS03750-MONOMER	EWS79_RS03750	carbohydrate porin	
EWS79_RS05400-MONOMER	EWS79_RS05400	carbon-nitrogen hydrolase family protein	
EWS79_RS05050-MONOMER	EWS79_RS05050	carbonic anhydrase	CCI-CYTOSOL-GN
EWS79_RS08435-MONOMER	EWS79_RS08435	carboxylating nicotinate-nucleotide diphosphorylase	
EWS79_RS00940-MONOMER	EWS79_RS00940	CarD family transcriptional regulator	CCI-CYTOSOL-GN
EWS79_RS01335-MONOMER	EWS79_RS01335	cardiolipin synthase	CCI-PM-BAC-NEG-GN
EWS79_RS05100-MONOMER	EWS79_RS05100	CatA-like O-acetyltransferase	
EWS79_RS04075-MONOMER	EWS79_RS04075	catalase	
EWS79_RS00875-MONOMER	EWS79_RS00875	cation transporter	
EWS79_RS03840-MONOMER	EWS79_RS03840	cation transporter	
EWS79_RS04705-MONOMER	EWS79_RS04705	CCA tRNA nucleotidyltransferase	
EWS79_RS00395-MONOMER	EWS79_RS00395	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	CCI-PM-BAC-NEG-GN
EWS79_RS05180-MONOMER	EWS79_RS05180	CDP-diacylglycerol--serine O-phosphatidyltransferase	CCI-PM-BAC-NEG-GN
EWS79_RS01770-MONOMER	EWS79_RS01770	cell division ATP-binding protein FtsE	CCI-PM-BAC-NEG-GN
EWS79_RS01775-MONOMER	EWS79_RS01775	cell division protein	
EWS79_RS03705-MONOMER	EWS79_RS03705	cell division protein FtsA	
EWS79_RS03700-MONOMER	EWS79_RS03700	cell division protein FtsQ	CCI-CYTOSOL-GN
EWS79_RS03710-MONOMER	EWS79_RS03710	cell division protein FtsZ	
EWS79_RS00725-MONOMER	EWS79_RS00725	cell division protein ZapA	
EWS79_RS01915-MONOMER	EWS79_RS01915	cell wall hydrolase	
EWS79_RS04830-MONOMER	EWS79_RS04830	cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB	
EWS79_RS01085-MONOMER	EWS79_RS01085	channel protein TolC	
EWS79_RS08725-MONOMER	EWS79_RS08725	chaperonin GroEL	
EWS79_RS02045-MONOMER	EWS79_RS02045	CHASE2 domain-containing protein	CCI-PM-BAC-NEG-GN
EWS79_RS04340-MONOMER	EWS79_RS04340	ChbG/HpnK family deacetylase	CCI-CYTOSOL-GN
EWS79_RS00340-MONOMER	EWS79_RS00340	chemotaxis protein CheA	
EWS79_RS00325-MONOMER	EWS79_RS00325	chemotaxis protein CheD	
EWS79_RS00315-MONOMER	EWS79_RS00315	chemotaxis protein CheW	
EWS79_RS00330-MONOMER	EWS79_RS00330	chemotaxis response regulator protein-glutamate methylesterase	CCI-CYTOSOL-GN
EWS79_RS03900-MONOMER	EWS79_RS03900	chemotaxis-specific protein-glutamate methyltransferase CheB	CCI-CYTOSOL-GN
EWS79_RS03720-MONOMER	EWS79_RS03720	chloride channel protein	
EWS79_RS02480-MONOMER	EWS79_RS02480	chorismate mutase	
EWS79_RS07580-MONOMER	EWS79_RS07580	chorismate synthase	
EWS79_RS03140-MONOMER	EWS79_RS03140	chromosomal replication initiator protein DnaA	
EWS79_RS06035-MONOMER	EWS79_RS06035	chromosomal replication initiator protein DnaA	CCI-CYTOSOL-GN
EWS79_RS01475-MONOMER	EWS79_RS01475	chromosome partitioning protein ParB	
EWS79_RS05035-MONOMER	EWS79_RS05035	CinA family protein	
EWS79_RS08925-MONOMER	EWS79_RS08925	citrate synthase	CCI-CYTOSOL-GN
EWS79_RS08945-MONOMER	EWS79_RS08945	class A beta-lactamase	
EWS79_RS00760-MONOMER	EWS79_RS00760	class I fructose-bisphosphate aldolase	CCI-CYTOSOL-GN
EWS79_RS04610-MONOMER	EWS79_RS04610	class I SAM-dependent methyltransferase	
EWS79_RS02055-MONOMER	EWS79_RS02055	class II fructose-bisphosphatase	
EWS79_RS08720-MONOMER	EWS79_RS08720	co-chaperone GroES	CCI-CYTOSOL-GN
EWS79_RS02080-MONOMER	EWS79_RS02080	CoA ester lyase	CCI-CYTOSOL-GN
EWS79_RS06665-MONOMER	EWS79_RS06665	cob(I)yrinic acid a,c-diamide adenosyltransferase	
CPLX1W2W-6	EWS79_RS06875 // EWS79_RS06870	cobaltochelatase	
EWS79_RS06875-MONOMER	EWS79_RS06875	cobaltochelatase subunit CobS	
EWS79_RS06870-MONOMER	EWS79_RS06870	cobaltochelatase subunit CobT	
EWS79_RS05215-MONOMER	EWS79_RS05215	CocE/NonD family hydrolase	
EWS79_RS04110-MONOMER	EWS79_RS04110	cold shock domain-containing protein	CCI-CYTOSOL-GN
EWS79_RS01205-MONOMER	EWS79_RS01205	cold-shock protein	CCI-CYTOSOL-GN
EWS79_RS08935-MONOMER	EWS79_RS08935	ComEC/Rec2 family competence protein	
EWS79_RS05205-MONOMER	EWS79_RS05205	ComF family protein	
EWS79_RS05765-MONOMER	EWS79_RS05765	ComF family protein	
EWS79_RS06005-MONOMER	EWS79_RS06005	competence/damage-inducible protein A	CCI-CYTOSOL-GN
EWS79_RS09050-MONOMER	EWS79_RS09050	CopD family protein	
EWS79_RS04060-MONOMER	EWS79_RS04060	copper-translocating P-type ATPase	
EWS79_RS00060-MONOMER	EWS79_RS00060	coproporphyrinogen III oxidase	
EWS79_RS02005-MONOMER	EWS79_RS02005	COQ9 family protein	
EWS79_RS00635-MONOMER	EWS79_RS00635	crossover junction endodeoxyribonuclease RuvC	CCI-CYTOSOL-GN
EWS79_RS03280-MONOMER	EWS79_RS03280	CsbD family protein	
EWS79_RS01970-MONOMER	EWS79_RS01970	CTP synthase	
EWS79_RS02605-MONOMER	EWS79_RS02605	CvpA family protein	
EWS79_RS00515-MONOMER	EWS79_RS00515	Cys-tRNA(Pro) deacylase	
EWS79_RS01390-MONOMER	EWS79_RS01390	cystathionine beta-lyase	
EWS79_RS03800-MONOMER	EWS79_RS03800	cysteine desulfurase	
EWS79_RS01820-MONOMER	EWS79_RS01820	cysteine desulfurase	
EWS79_RS08220-MONOMER	EWS79_RS08220	cysteine desulfurase NifS	
EWS79_RS03360-MONOMER	EWS79_RS03360	cysteine hydrolase	
EWS79_RS08245-MONOMER	EWS79_RS08245	cysteine hydrolase	
EWS79_RS03630-MONOMER	EWS79_RS03630	cysteine synthase A	CCI-CYTOSOL-GN
EWS79_RS03315-MONOMER	EWS79_RS03315	cysteine synthase A	
EWS79_RS00785-MONOMER	EWS79_RS00785	cysteine--tRNA ligase	
EWS79_RS03830-MONOMER	EWS79_RS03830	cytidine deaminase	
EWS79_RS04275-MONOMER	EWS79_RS04275	cytochrome c	
EWS79_RS03485-MONOMER	EWS79_RS03485	cytochrome c	
EWS79_RS06165-MONOMER	EWS79_RS06165	cytochrome c biogenesis protein	
EWS79_RS01120-MONOMER	EWS79_RS01120	cytochrome C biogenesis protein CcmB	
EWS79_RS05590-MONOMER	EWS79_RS05590	cytochrome c biosynthesis protein	CCI-PM-BAC-NEG-GN
EWS79_RS05610-MONOMER	EWS79_RS05610	cytochrome c maturation protein CcmE	
EWS79_RS05595-MONOMER	EWS79_RS05595	cytochrome c-type biogenesis protein CcmH	
EWS79_RS04265-MONOMER	EWS79_RS04265	cytochrome c1	
CPLX1W2W-8	EWS79_RS06990 // EWS79_RS06985	cytochrome d ubiquinol oxidase	
EWS79_RS06990-MONOMER	EWS79_RS06990	cytochrome d ubiquinol oxidase subunit II	
EWS79_RS06985-MONOMER	EWS79_RS06985	cytochrome ubiquinol oxidase subunit I	CCI-PM-BAC-NEG-GN
EWS79_RS03695-MONOMER	EWS79_RS03695	D-alanine--D-alanine ligase	
EWS79_RS04855-MONOMER	EWS79_RS04855	D-alanyl-D-alanine carboxypeptidase	
EWS79_RS01100-MONOMER	EWS79_RS01100	D-lactate dehydrogenase	
EWS79_RS01300-MONOMER	EWS79_RS01300	Dabb family protein	
EWS79_RS03825-MONOMER	EWS79_RS03825	dCTP deaminase	
EWS79_RS05435-MONOMER	EWS79_RS05435	DEAD/DEAH box helicase	
EWS79_RS06300-MONOMER	EWS79_RS06300	DEAD/DEAH box helicase	CCI-CYTOSOL-GN
EWS79_RS06405-MONOMER	EWS79_RS06405	deaminated glutathione amidase	CCI-CYTOSOL-GN
EWS79_RS06655-MONOMER	EWS79_RS06655	DedA family protein	
EWS79_RS08975-MONOMER	EWS79_RS08975	delta(1)-pyrroline-2-carboxylate reductase family protein	
EWS79_RS08870-MONOMER	EWS79_RS08870	demethylmenaquinone methyltransferase	
EWS79_RS03725-MONOMER	EWS79_RS03725	deoxyguanosinetriphosphate triphosphohydrolase	
EWS79_RS04555-MONOMER	EWS79_RS04555	deoxyhypusine synthase	CCI-CYTOSOL-GN
EWS79_RS06465-MONOMER	EWS79_RS06465	deoxyribodipyrimidine photo-lyase	
EWS79_RS00185-MONOMER	EWS79_RS00185	dephospho-CoA kinase	
EWS79_RS08660-MONOMER	EWS79_RS08660	dethiobiotin synthase	
EWS79_RS04300-MONOMER	EWS79_RS04300	DHA2 family efflux MFS transporter permease subunit	CCI-PM-BAC-NEG-GN
EWS79_RS06175-MONOMER	EWS79_RS06175	diacylglycerol kinase	CCI-CYTOSOL-GN
EWS79_RS06350-MONOMER	EWS79_RS06350	diacylglycerol kinase family lipid kinase	
EWS79_RS07920-MONOMER	EWS79_RS07920	diaminopimelate decarboxylase	
EWS79_RS04785-MONOMER	EWS79_RS04785	diaminopimelate epimerase	
EWS79_RS02555-MONOMER	EWS79_RS02555	dicarboxylate/amino acid:cation symporter	CCI-PM-BAC-NEG-GN
EWS79_RS09035-MONOMER	EWS79_RS09035	dienelactone hydrolase family protein	
EWS79_RS06010-MONOMER	EWS79_RS06010	dienelactone hydrolase family protein	
EWS79_RS08300-MONOMER	EWS79_RS08300	dihydrodipicolinate synthase family protein	
EWS79_RS01360-MONOMER	EWS79_RS01360	dihydrofolate reductase	
EWS79_RS02205-MONOMER	EWS79_RS02205	dihydrolipoyl dehydrogenase	
EWS79_RS04715-MONOMER	EWS79_RS04715	dihydroneopterin aldolase	CCI-CYTOSOL-GN
EWS79_RS03505-MONOMER	EWS79_RS03505	dihydroorotase	
EWS79_RS07560-MONOMER	EWS79_RS07560	dihydroorotase	
EWS79_RS00495-MONOMER	EWS79_RS00495	dihydroorotate oxidase	
EWS79_RS04485-MONOMER	EWS79_RS04485	dihydropteroate synthase	
EWS79_RS08025-MONOMER	EWS79_RS08025	dihydroxy-acid dehydratase	
EWS79_RS05500-MONOMER	EWS79_RS05500	dipeptide epimerase	CCI-CYTOSOL-GN
EWS79_RS07460-MONOMER	EWS79_RS07460	disulfide bond formation protein B	CCI-PM-BAC-NEG-GN
EWS79_RS00120-MONOMER	EWS79_RS00120	DMT family transporter	
EWS79_RS05990-MONOMER	EWS79_RS05990	DMT family transporter	
EWS79_RS04160-MONOMER	EWS79_RS04160	DMT family transporter	
EWS79_RS06795-MONOMER	EWS79_RS06795	DMT family transporter	CCI-PM-BAC-NEG-GN
EWS79_RS04515-MONOMER	EWS79_RS04515	DNA gyrase inhibitor YacG	
EWS79_RS03055-MONOMER	EWS79_RS03055	DNA gyrase subunit A	
EWS79_RS02540-MONOMER	EWS79_RS02540	DNA helicase II	
EWS79_RS01540-MONOMER	EWS79_RS01540	DNA ligase (NAD(+)) LigA	
EWS79_RS01495-MONOMER	EWS79_RS01495	DNA mismatch repair endonuclease MutL	CCI-CYTOSOL-GN
EWS79_RS08620-MONOMER	EWS79_RS08620	DNA mismatch repair protein MutS	
EWS79_RS07295-MONOMER	EWS79_RS07295	DNA mismatch repair protein MutS	CCI-CYTOSOL-GN
EWS79_RS00970-MONOMER	EWS79_RS00970	DNA polymerase I	
EWS79_RS06850-MONOMER	EWS79_RS06850	DNA polymerase III subunit alpha	
EWS79_RS04370-MONOMER	EWS79_RS04370	DNA polymerase III subunit beta	
EWS79_RS05830-MONOMER	EWS79_RS05830	DNA polymerase III subunit chi	
EWS79_RS06375-MONOMER	EWS79_RS06375	DNA polymerase III subunit delta	
EWS79_RS04865-MONOMER	EWS79_RS04865	DNA polymerase III subunit delta'	CCI-CYTOSOL-GN
EWS79_RS00180-MONOMER	EWS79_RS00180	DNA polymerase III subunit epsilon	
EWS79_RS03815-MONOMER	EWS79_RS03815	DNA polymerase III subunit gamma/tau	
EWS79_RS07225-MONOMER	EWS79_RS07225	DNA primase	
EWS79_RS03600-MONOMER	EWS79_RS03600	DNA recombination protein RmuC	
EWS79_RS02600-MONOMER	EWS79_RS02600	DNA repair protein RadA	
EWS79_RS08745-MONOMER	EWS79_RS08745	DNA repair protein RadC	
EWS79_RS02920-MONOMER	EWS79_RS02920	DNA repair protein RadC	CCI-CYTOSOL-GN
EWS79_RS06345-MONOMER	EWS79_RS06345	DNA repair protein RadC	CCI-CYTOSOL-GN
EWS79_RS08890-MONOMER	EWS79_RS08890	DNA repair protein RecN	
EWS79_RS02970-MONOMER	EWS79_RS02970	DNA repair protein RecO	
EWS79_RS07075-MONOMER	EWS79_RS07075	DNA replication/repair protein RecF	
EWS79_RS07070-MONOMER	EWS79_RS07070	DNA topoisomerase (ATP-hydrolyzing) subunit B	
EWS79_RS05340-MONOMER	EWS79_RS05340	DNA topoisomerase 1	
EWS79_RS04695-MONOMER	EWS79_RS04695	DNA topoisomerase IV subunit A	
EWS79_RS01750-MONOMER	EWS79_RS01750	DNA topoisomerase IV subunit B	
EWS79_RS07625-MONOMER	EWS79_RS07625	DNA translocase FtsK	
EWS79_RS01600-MONOMER	EWS79_RS01600	DNA-3-methyladenine glycosylase 2 family protein	
EWS79_RS08780-MONOMER	EWS79_RS08780	DNA-binding protein	
EWS79_RS07065-MONOMER	EWS79_RS07065	DNA-deoxyinosine glycosylase	
CPLX1W2W-13	EWS79_RS03240 // EWS79_RS03235	DNA-directed RNA polymerase	
EWS79_RS02360-MONOMER	EWS79_RS02360	DNA-directed RNA polymerase subunit alpha	CCI-CYTOSOL-GN
EWS79_RS03235-MONOMER	EWS79_RS03235	DNA-directed RNA polymerase subunit beta	
EWS79_RS03240-MONOMER	EWS79_RS03240	DNA-directed RNA polymerase subunit beta'	CCI-CYTOSOL-GN
EWS79_RS07710-MONOMER	EWS79_RS07710	DNA-directed RNA polymerase subunit omega	
EWS79_RS05345-MONOMER	EWS79_RS05345	DNA-protecting protein DprA	
EWS79_RS06615-MONOMER	EWS79_RS06615	dNTP triphosphohydrolase	
EWS79_RS01010-MONOMER	EWS79_RS01010	Do family serine endopeptidase	CCI-PERI-BAC-GN
EWS79_RS04900-MONOMER	EWS79_RS04900	double-strand break repair helicase AddA	
EWS79_RS04905-MONOMER	EWS79_RS04905	double-strand break repair protein AddB	
EWS79_RS00815-MONOMER	EWS79_RS00815	DsbA family protein	
EWS79_RS05600-MONOMER	EWS79_RS05600	DsbE family thiol:disulfide interchange protein	
EWS79_RS04860-MONOMER	EWS79_RS04860	dTMP kinase	
EWS79_RS03795-MONOMER	EWS79_RS03795	DUF1013 domain-containing protein	CCI-CYTOSOL-GN
EWS79_RS08735-MONOMER	EWS79_RS08735	DUF1016 domain-containing protein	
EWS79_RS02595-MONOMER	EWS79_RS02595	DUF1049 domain-containing protein	
EWS79_RS02935-MONOMER	EWS79_RS02935	DUF1318 domain-containing protein	
EWS79_RS00945-MONOMER	EWS79_RS00945	DUF1330 domain-containing protein	
EWS79_RS08460-MONOMER	EWS79_RS08460	DUF1476 domain-containing protein	
EWS79_RS00165-MONOMER	EWS79_RS00165	DUF1491 family protein	
EWS79_RS06365-MONOMER	EWS79_RS06365	DUF1656 domain-containing protein	CCI-PM-BAC-NEG-GN
EWS79_RS03575-MONOMER	EWS79_RS03575	DUF167 domain-containing protein	
EWS79_RS08630-MONOMER	EWS79_RS08630	DUF177 domain-containing protein	CCI-CYTOSOL-GN
EWS79_RS05645-MONOMER	EWS79_RS05645	DUF1847 domain-containing protein	CCI-CYTOSOL-GN
EWS79_RS03930-MONOMER	EWS79_RS03930	DUF192 domain-containing protein	
EWS79_RS08290-MONOMER	EWS79_RS08290	DUF2023 family protein	
EWS79_RS06780-MONOMER	EWS79_RS06780	DUF2093 domain-containing protein	
EWS79_RS00605-MONOMER	EWS79_RS00605	DUF2141 domain-containing protein	
EWS79_RS06180-MONOMER	EWS79_RS06180	DUF2141 domain-containing protein	
EWS79_RS08775-MONOMER	EWS79_RS08775	DUF2285 domain-containing protein	
EWS79_RS08915-MONOMER	EWS79_RS08915	DUF2336 domain-containing protein	
EWS79_RS06995-MONOMER	EWS79_RS06995	DUF2474 family protein	
EWS79_RS08465-MONOMER	EWS79_RS08465	DUF2497 domain-containing protein	CCI-CYTOSOL-GN
EWS79_RS07755-MONOMER	EWS79_RS07755	DUF2794 domain-containing protein	
EWS79_RS00950-MONOMER	EWS79_RS00950	DUF2807 domain-containing protein	
EWS79_RS08770-MONOMER	EWS79_RS08770	DUF2958 domain-containing protein	
EWS79_RS01380-MONOMER	EWS79_RS01380	DUF3035 domain-containing protein	CCI-PERI-BAC-GN
EWS79_RS07795-MONOMER	EWS79_RS07795	DUF3297 family protein	
EWS79_RS08820-MONOMER	EWS79_RS08820	DUF3363 domain-containing protein	
EWS79_RS06390-MONOMER	EWS79_RS06390	DUF3576 domain-containing protein	
EWS79_RS05575-MONOMER	EWS79_RS05575	DUF3617 domain-containing protein	
EWS79_RS05580-MONOMER	EWS79_RS05580	DUF3617 family protein	
EWS79_RS05585-MONOMER	EWS79_RS05585	DUF3617 family protein	
EWS79_RS01480-MONOMER	EWS79_RS01480	DUF4011 domain-containing protein	
EWS79_RS08940-MONOMER	EWS79_RS08940	DUF4062 domain-containing protein	
EWS79_RS08730-MONOMER	EWS79_RS08730	DUF4102 domain-containing protein	
EWS79_RS05560-MONOMER	EWS79_RS05560	DUF4136 domain-containing protein	
EWS79_RS07330-MONOMER	EWS79_RS07330	DUF4136 domain-containing protein	
EWS79_RS06740-MONOMER	EWS79_RS06740	DUF4167 domain-containing protein	
EWS79_RS04505-MONOMER	EWS79_RS04505	DUF4186 domain-containing protein	
EWS79_RS02615-MONOMER	EWS79_RS02615	DUF423 domain-containing protein	CCI-PM-BAC-NEG-GN
EWS79_RS08445-MONOMER	EWS79_RS08445	DUF4230 domain-containing protein	CCI-PM-BAC-NEG-GN
EWS79_RS01240-MONOMER	EWS79_RS01240	DUF445 domain-containing protein	
EWS79_RS02440-MONOMER	EWS79_RS02440	DUF448 domain-containing protein	
EWS79_RS01895-MONOMER	EWS79_RS01895	DUF459 domain-containing protein	
EWS79_RS04415-MONOMER	EWS79_RS04415	DUF465 domain-containing protein	
EWS79_RS04410-MONOMER	EWS79_RS04410	DUF465 domain-containing protein	
EWS79_RS07970-MONOMER	EWS79_RS07970	DUF475 domain-containing protein	
EWS79_RS06945-MONOMER	EWS79_RS06945	DUF481 domain-containing protein	
EWS79_RS02125-MONOMER	EWS79_RS02125	DUF490 domain-containing protein	
EWS79_RS01230-MONOMER	EWS79_RS01230	DUF541 domain-containing protein	
EWS79_RS07495-MONOMER	EWS79_RS07495	DUF721 domain-containing protein	
EWS79_RS01405-MONOMER	EWS79_RS01405	DUF882 domain-containing protein	CCI-CYTOSOL-GN
EWS79_RS04045-MONOMER	EWS79_RS04045	DUF885 domain-containing protein	
EWS79_RS05330-MONOMER	EWS79_RS05330	dUTP diphosphatase	
EWS79_RS07000-MONOMER	EWS79_RS07000	Dyp-type peroxidase	
EWS79_RS01700-MONOMER	EWS79_RS01700	EAL domain-containing protein	
EWS79_RS06625-MONOMER	EWS79_RS06625	EAL domain-containing protein	CCI-PM-BAC-NEG-GN
EWS79_RS01215-MONOMER	EWS79_RS01215	efflux RND transporter periplasmic adaptor subunit	CCI-PM-BAC-NEG-GN
EWS79_RS06815-MONOMER	EWS79_RS06815	efflux RND transporter periplasmic adaptor subunit	CCI-PM-BAC-NEG-GN
EWS79_RS01235-MONOMER	EWS79_RS01235	efflux RND transporter periplasmic adaptor subunit	
EWS79_RS03440-MONOMER	EWS79_RS03440	efflux RND transporter periplasmic adaptor subunit	CCI-PM-BAC-NEG-GN
EWS79_RS03435-MONOMER	EWS79_RS03435	efflux RND transporter permease subunit	CCI-PM-BAC-NEG-GN
EWS79_RS04290-MONOMER	EWS79_RS04290	efflux transporter outer membrane subunit	CCI-OUTER-MEM-GN
EWS79_RS01225-MONOMER	EWS79_RS01225	efflux transporter outer membrane subunit	CCI-OUTER-MEM-GN
EWS79_RS03445-MONOMER	EWS79_RS03445	efflux transporter outer membrane subunit	
EWS79_RS06800-MONOMER	EWS79_RS06800	efflux transporter outer membrane subunit	
EWS79_RS06585-MONOMER	EWS79_RS06585	electron transfer flavoprotein subunit alpha	
EWS79_RS06590-MONOMER	EWS79_RS06590	electron transfer flavoprotein subunit beta/FixA family protein	
EWS79_RS05290-MONOMER	EWS79_RS05290	electron transfer flavoprotein-ubiquinone oxidoreductase	
EWS79_RS08095-MONOMER	EWS79_RS08095	electron transport complex subunit E	
EWS79_RS08120-MONOMER	EWS79_RS08120	electron transport complex subunit RsxA	CCI-PM-BAC-NEG-GN
EWS79_RS08110-MONOMER	EWS79_RS08110	electron transport complex subunit RsxC	
EWS79_RS08100-MONOMER	EWS79_RS08100	electron transport complex subunit RsxG	CCI-CYTOSOL-GN
EWS79_RS07800-MONOMER	EWS79_RS07800	elongation factor 4	
EWS79_RS02225-MONOMER	EWS79_RS02225	elongation factor G	
EWS79_RS01395-MONOMER	EWS79_RS01395	elongation factor P	CCI-CYTOSOL-GN
EWS79_RS05160-MONOMER	EWS79_RS05160	elongation factor Ts	
EWS79_RS02230-MONOMER	EWS79_RS02230	elongation factor Tu	CCI-CYTOSOL-GN
EWS79_RS05695-MONOMER	EWS79_RS05695	endolytic transglycosylase MltG	CCI-PM-BAC-NEG-GN
EWS79_RS01450-MONOMER	EWS79_RS01450	endonuclease	
EWS79_RS03115-MONOMER	EWS79_RS03115	endonuclease III	
EWS79_RS01595-MONOMER	EWS79_RS01595	endopeptidase La	
EWS79_RS07695-MONOMER	EWS79_RS07695	energy transducer TonB	
EWS79_RS00775-MONOMER	EWS79_RS00775	energy-dependent translational throttle protein EttA	CCI-CYTOSOL-GN
EWS79_RS07575-MONOMER	EWS79_RS07575	enoyl-[acyl-carrier-protein] reductase FabI	CCI-PM-BAC-NEG-GN
EWS79_RS05450-MONOMER	EWS79_RS05450	entericidin A/B family lipoprotein	
EWS79_RS04740-MONOMER	EWS79_RS04740	envelope stress response membrane protein PspB	
