Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
EWS79_RS05385-MONOMER	EWS79_RS05385	RNA methyltransferase	
EWS79_RS07230-MONOMER	EWS79_RS07230	RNA polymerase sigma factor RpoD	CCI-CYTOSOL-GN
EWS79_RS03320-MONOMER	EWS79_RS03320	RNA polymerase sigma factor RpoH	
EWS79_RS01180-MONOMER	EWS79_RS01180	RNA polymerase sigma-54 factor	
EWS79_RS04405-MONOMER	EWS79_RS04405	RNA polymerase-binding protein DksA	CCI-CYTOSOL-GN
EWS79_RS02170-MONOMER	EWS79_RS02170	RNA pseudouridine synthase	
EWS79_RS06940-MONOMER	EWS79_RS06940	RNA pyrophosphohydrolase	CCI-CYTOSOL-GN
EWS79_RS05910-MONOMER	EWS79_RS05910	RNase adapter RapZ	CCI-CYTOSOL-GN
EWS79_RS08115-MONOMER	EWS79_RS08115	RnfABCDGE type electron transport complex subunit B	
EWS79_RS08105-MONOMER	EWS79_RS08105	RnfABCDGE type electron transport complex subunit D	CCI-PM-BAC-NEG-GN
EWS79_RS08090-MONOMER	EWS79_RS08090	RnfH family protein	
EWS79_RS01500-MONOMER	EWS79_RS01500	rod shape-determining protein	CCI-CYTOSOL-GN
EWS79_RS01505-MONOMER	EWS79_RS01505	rod shape-determining protein MreC	
EWS79_RS01520-MONOMER	EWS79_RS01520	rod shape-determining protein RodA	CCI-PM-BAC-NEG-GN
EWS79_RS00480-MONOMER	EWS79_RS00480	Rrf2 family transcriptional regulator	
EWS79_RS00300-MONOMER	EWS79_RS00300	rRNA maturation RNase YbeY	CCI-CYTOSOL-GN
EWS79_RS05885-MONOMER	EWS79_RS05885	RsmB/NOP family class I SAM-dependent RNA methyltransferase	
EWS79_RS07720-MONOMER	EWS79_RS07720	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	CCI-CYTOSOL-GN
EWS79_RS00525-MONOMER	EWS79_RS00525	S1/P1 Nuclease	
EWS79_RS07455-MONOMER	EWS79_RS07455	S41 family peptidase	
EWS79_RS06255-MONOMER	EWS79_RS06255	S9 family peptidase	
EWS79_RS02100-MONOMER	EWS79_RS02100	S9 family peptidase	
EWS79_RS03100-MONOMER	EWS79_RS03100	S9 family peptidase	
EWS79_RS03515-MONOMER	EWS79_RS03515	S9 family peptidase	
EWS79_RS08530-MONOMER	EWS79_RS08530	SAM-dependent methyltransferase	CCI-CYTOSOL-GN
EWS79_RS03345-MONOMER	EWS79_RS03345	SCP2 sterol-binding domain-containing protein	
EWS79_RS00965-MONOMER	EWS79_RS00965	SDR family NAD(P)-dependent oxidoreductase	
EWS79_RS01490-MONOMER	EWS79_RS01490	SDR family NAD(P)-dependent oxidoreductase	
EWS79_RS08835-MONOMER	EWS79_RS08835	SDR family oxidoreductase	
EWS79_RS06090-MONOMER	EWS79_RS06090	SDR family oxidoreductase	
EWS79_RS01315-MONOMER	EWS79_RS01315	SDR family oxidoreductase	
EWS79_RS00375-MONOMER	EWS79_RS00375	SDR family oxidoreductase	
EWS79_RS00410-MONOMER	EWS79_RS00410	SDR family oxidoreductase	
EWS79_RS06935-MONOMER	EWS79_RS06935	SDR family oxidoreductase	
EWS79_RS07010-MONOMER	EWS79_RS07010	SDR family oxidoreductase	
EWS79_RS01345-MONOMER	EWS79_RS01345	SDR family oxidoreductase	
EWS79_RS01430-MONOMER	EWS79_RS01430	SDR family oxidoreductase	
EWS79_RS00700-MONOMER	EWS79_RS00700	SDR family oxidoreductase	
EWS79_RS03525-MONOMER	EWS79_RS03525	SDR family oxidoreductase	
EWS79_RS00125-MONOMER	EWS79_RS00125	sel1 repeat family protein	
EWS79_RS08950-MONOMER	EWS79_RS08950	sel1 repeat family protein	
EWS79_RS00550-MONOMER	EWS79_RS00550	sel1 repeat family protein	
EWS79_RS00140-MONOMER	EWS79_RS00140	sel1 repeat family protein	
EWS79_RS00565-MONOMER	EWS79_RS00565	sel1 repeat family protein	
EWS79_RS00560-MONOMER	EWS79_RS00560	sel1 repeat family protein	
EWS79_RS00545-MONOMER	EWS79_RS00545	sel1 repeat family protein	
EWS79_RS00555-MONOMER	EWS79_RS00555	sel1 repeat family protein	
EWS79_RS00200-MONOMER	EWS79_RS00200	sel1 repeat family protein	
EWS79_RS05445-MONOMER	EWS79_RS05445	sensor histidine kinase	
EWS79_RS07790-MONOMER	EWS79_RS07790	sensor histidine kinase	CCI-PM-BAC-NEG-GN
EWS79_RS04850-MONOMER	EWS79_RS04850	septal ring lytic transglycosylase RlpA family protein	
EWS79_RS04950-MONOMER	EWS79_RS04950	septation protein IspZ	CCI-PM-BAC-NEG-GN
EWS79_RS07170-MONOMER	EWS79_RS07170	septation ring formation regulator EzrA	
EWS79_RS00195-MONOMER	EWS79_RS00195	septum formation protein Maf	
EWS79_RS04525-MONOMER	EWS79_RS04525	septum formation protein Maf	
EWS79_RS07760-MONOMER	EWS79_RS07760	serine acetyltransferase	
EWS79_RS00420-MONOMER	EWS79_RS00420	serine hydrolase	
EWS79_RS07375-MONOMER	EWS79_RS07375	serine hydrolase	
EWS79_RS05375-MONOMER	EWS79_RS05375	serine hydroxymethyltransferase	CCI-CYTOSOL-GN
EWS79_RS04400-MONOMER	EWS79_RS04400	serine--tRNA ligase	
EWS79_RS01900-MONOMER	EWS79_RS01900	SGNH/GDSL hydrolase family protein	
EWS79_RS00190-MONOMER	EWS79_RS00190	shikimate dehydrogenase	CCI-CYTOSOL-GN
EWS79_RS02625-MONOMER	EWS79_RS02625	shikimate kinase	CCI-CYTOSOL-GN
EWS79_RS08250-MONOMER	EWS79_RS08250	sigma E positive regulator RseC/MucC	CCI-PM-BAC-NEG-GN
EWS79_RS03760-MONOMER	EWS79_RS03760	sigma-54-dependent Fis family transcriptional regulator	
EWS79_RS02775-MONOMER	EWS79_RS02775	sigma-54-dependent Fis family transcriptional regulator	
EWS79_RS05005-MONOMER	EWS79_RS05005	sigma-54-dependent Fis family transcriptional regulator	CCI-CYTOSOL-GN
EWS79_RS06235-MONOMER	EWS79_RS06235	sigma-70 family RNA polymerase sigma factor	CCI-CYTOSOL-GN
EWS79_RS07660-MONOMER	EWS79_RS07660	signal peptidase I	CCI-PM-BAC-NEG-GN
