Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
ZMO0866-MONOMER	Inner_Membrane	ZMO0866()	Inner_Membrane	r
ZMO2008-MONOMER	Inner_Membrane	ZMO2008()	Inner_Membrane	r
ZMO0982-MONOMER	Inner_Membrane	ZMO0982()	Inner_Membrane	r
ZMO0096-MONOMER	Inner_Membrane	ZMO0096()	Inner_Membrane	r
ZMO0366-MONOMER	Inner_Membrane	ZMO0366()	Inner_Membrane	p
ZMO1631-MONOMER	Outer_Membrane	ZMO1631()	Outer_Membrane	sb
ZMO1087-MONOMER	Outer_Membrane	ZMO1087()	Outer_Membrane	pla
ZMO1804-MONOMER	Inner_Membrane	ZMO1804()	Inner_Membrane	r
ZMO0285-MONOMER	Outer_Membrane	ZMO0285()	Outer_Membrane	pla
ZMO0546-MONOMER	Inner_Membrane	ZMO0546()	Inner_Membrane	r
ZMO1047-MONOMER	Inner_Membrane	ZMO1047()	Periplasm	s
CPLX_PIuabcpp-0	Inner_Membrane	ZMO1047()	Periplasm	s
ZMO1049-MONOMER	Inner_Membrane	ZMO1049()	Inner_Membrane	r
CPLX_PIuabcpp-0	Inner_Membrane	ZMO1049()	Inner_Membrane	r
ZMO1048-MONOMER	Inner_Membrane	ZMO1048()	Inner_Membrane	r
CPLX_PIuabcpp-0	Inner_Membrane	ZMO1048()	Inner_Membrane	r
ZMO0197-MONOMER	Inner_Membrane	ZMO0197()	Inner_Membrane	s
CPLX_PEPTIDOr_ZM-0	Inner_Membrane	ZMO0197()	Inner_Membrane	s
ZMO0188-MONOMER	Outer_Membrane	ZMO0188()	Outer_Membrane	sb
ZMO1497-MONOMER	Inner_Membrane	ZMO1497()	Inner_Membrane	r
ZMO1262-MONOMER	Inner_Membrane	ZMO1262()	Inner_Membrane	r
CPLX_BUTSO3abcpp-0	Inner_Membrane	ZMO1262()	Inner_Membrane	r
ZMO1261-MONOMER	Inner_Membrane	ZMO1261()	Periplasm	s
CPLX_BUTSO3abcpp-0	Inner_Membrane	ZMO1261()	Periplasm	s
ZMO1756-MONOMER	Inner_Membrane	ZMO1756()	Inner_Membrane	r
ZMO0889-MONOMER	Periplasm	ZMO0889()	Periplasm	s
ZMO0359-MONOMER	Inner_Membrane	ZMO0359()	Inner_Membrane	r
CPLX_PEPTIDOr_ZM-0	Inner_Membrane	ZMO0359()	Inner_Membrane	r
ZMO0170-MONOMER	Periplasm	ZMO0170()	Periplasm	s
ZMO0047-MONOMER	Inner_Membrane	ZMO0047()	Inner_Membrane	r
ZMO0119-MONOMER	Inner_Membrane	ZMO0119()	Inner_Membrane	r
EWS79_RS01120-MONOMER	Inner_Membrane	EWS79_RS01120()	Inner_Membrane	r
ZMO1256-MONOMER	Inner_Membrane	ZMO1256()	Periplasm	s
ZMO1258-MONOMER	Inner_Membrane	ZMO1258()	Inner_Membrane	p
ZMO0499-MONOMER	Inner_Membrane	ZMO0499()	Inner_Membrane	s
EWS79_RS01170-MONOMER	Inner_Membrane	EWS79_RS01170()	Inner_Membrane	r
ZMO1790-MONOMER	Inner_Membrane	ZMO1790()	Inner_Membrane	r
ZMO0969-MONOMER	Inner_Membrane	ZMO0969()	Inner_Membrane	r
ZMO1973-MONOMER	Inner_Membrane	ZMO1973()	Inner_Membrane	r
ZMO1089-MONOMER	Inner_Membrane	ZMO1089()	Inner_Membrane	r
CPLX_PEPTIDOr_ZM-0	Inner_Membrane	ZMO1089()	Inner_Membrane	r
ZMO0581-MONOMER	Inner_Membrane	ZMO0581()	Inner_Membrane	p
ZMO2023-MONOMER	Outer_Membrane	ZMO2023()	Outer_Membrane	pla
EWS79_RS00835-MONOMER	Periplasm	EWS79_RS00835()	Periplasm	t
ZMO0346-MONOMER	Inner_Membrane	ZMO0346()	Inner_Membrane	r
ZMO0825-MONOMER	Inner_Membrane	ZMO0825()	Inner_Membrane	r
CPLX_PEPTIDOr_ZM-0	Inner_Membrane	ZMO0825()	Inner_Membrane	r
ZMO1393-MONOMER	Inner_Membrane	ZMO1393()	Inner_Membrane	r
CPLX_K2L4Aabctex-0	Inner_Membrane	ZMO1393()	Inner_Membrane	r
ZMO1394-MONOMER	Inner_Membrane	ZMO1394()	Inner_Membrane	r
CPLX_K2L4Aabctex-0	Inner_Membrane	ZMO1394()	Inner_Membrane	r
ZMO0061-MONOMER	Periplasm	ZMO0061()	Periplasm	s
ZMO0314-MONOMER	Inner_Membrane	ZMO0314()	Inner_Membrane	r
ZMO1847-MONOMER	Inner_Membrane	ZMO1847()	Inner_Membrane	r
ZMO1541-MONOMER	Inner_Membrane	ZMO1541()	Inner_Membrane	r
ZMO0979-MONOMER	Outer_Membrane	ZMO0979()	Outer_Membrane	sb
ZMO1388-MONOMER	Periplasm	ZMO1388()	Periplasm	s
ZMO1195-MONOMER	Inner_Membrane	ZMO1195()	Inner_Membrane	r
ZMO1218-MONOMER	Inner_Membrane	ZMO1218()	Inner_Membrane	p
ZMO0537-MONOMER	Inner_Membrane	ZMO0537()	Inner_Membrane	r
ZMO0464-MONOMER	Inner_Membrane	ZMO0464()	Inner_Membrane	r
ZMO1897-MONOMER	Inner_Membrane	ZMO1897()	Inner_Membrane	r
ZMO1896-MONOMER	Inner_Membrane	ZMO1896()	Inner_Membrane	r
ZMO0459-MONOMER	Inner_Membrane	ZMO0459()	Inner_Membrane	r
ZMO1148-MONOMER	Outer_Membrane	ZMO1148()	Outer_Membrane	sb
ZMO0452-MONOMER	Outer_Membrane	ZMO0452()	Outer_Membrane	pla
ZMO1758-MONOMER	Outer_Membrane	ZMO1758()	Outer_Membrane	pla
ZMO1626-MONOMER	Inner_Membrane	ZMO1626()	Inner_Membrane	ra
ZMO0291-MONOMER	Inner_Membrane	ZMO0291()	Inner_Membrane	r
ZMO0324-MONOMER	Inner_Membrane	ZMO0324()	Inner_Membrane	r
