Reaction	Complexes
LGTHL	ZMO0030-MONOMER OR ZMO0760-MONOMER_mod_ni2(1) OR ZMO1721-MONOMER
LIPOCT	ZMO1302-MONOMER
LIPOS	ZMO1132-MONOMER_mod_4fe4s(2)
LYSTRS	ZMO0890-MONOMER
LYSt3pp	ZMO1973-MONOMER
MALCOAMT	ZMO1915-MONOMER_mod_mg2(1)
MALTATr	ZMO1806-MONOMER
MAN1PT	ZMO1233-MONOMER
MAN1PT2	ZMO1233-MONOMER
MAN6PI	ZMO1233-MONOMER
MCOATA	CPLX_MCOATA-0
MCPST	ZMO1460-MONOMER
ME1	ZMO1955-MONOMER
MECDPDH5	CPLX_MECDPDH5-0
MECDPS	ZMO1128-MONOMER
MEPCT	ZMO1128-MONOMER OR ZMO0353-MONOMER
