complex_id,name,genes,mod,replace
CPLX_ASPabcpp-54,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.560() AND 222.273.peg.644() AND 222.273.peg.15(),,
CPLX_ASPabcpp-55,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.560() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_ASPabcpp-56,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.2797() AND 222.273.peg.13() AND 222.273.peg.15(),,
CPLX_ASPabcpp-57,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.2797() AND 222.273.peg.561() AND 222.273.peg.15(),,
CPLX_ASPabcpp-58,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.2797() AND 222.273.peg.644() AND 222.273.peg.15(),,
CPLX_ASPabcpp-59,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.2797() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_ASPabcpp-60,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.4847() AND 222.273.peg.13() AND 222.273.peg.15(),,
CPLX_ASPabcpp-61,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.4847() AND 222.273.peg.561() AND 222.273.peg.15(),,
CPLX_ASPabcpp-62,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.4847() AND 222.273.peg.644() AND 222.273.peg.15(),,
CPLX_ASPabcpp-63,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.4847() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_ASPabcpp-64,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.5507() AND 222.273.peg.13() AND 222.273.peg.15(),,
CPLX_ASPabcpp-65,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.5507() AND 222.273.peg.561() AND 222.273.peg.15(),,
CPLX_ASPabcpp-66,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.5507() AND 222.273.peg.644() AND 222.273.peg.15(),,
CPLX_ASPabcpp-67,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.5507() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_ASPabcpp-68,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.5721() AND 222.273.peg.13() AND 222.273.peg.15(),,
CPLX_ASPabcpp-69,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.5721() AND 222.273.peg.561() AND 222.273.peg.15(),,
CPLX_ASPabcpp-70,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.5721() AND 222.273.peg.644() AND 222.273.peg.15(),,
CPLX_ASPabcpp-71,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.5721() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_FE3DCITabcpp-0,Iron transport from ferric-dicitrate via ABC system (periplasm),222.273.peg.2878() AND 222.273.peg.5033(),,
CPLX_CPGNtonex-0,Coprogen transport via ton system (extracellular),222.273.peg.845() AND 222.273.peg.1893(),,
CPLX_CHLabcpp-0,Choline transport via ABC system (periplasm),222.273.peg.4675(2) AND 222.273.peg.4674(2) AND 222.273.peg.4676(1),,
CPLX_FRUptspp-0,D-fructose transport via PEP:Pyr PTS (periplasm),222.273.peg.2198() AND 222.273.peg.2197(),,
CPLX_FEENTERtonex-0,Fe-enterobactin transport via ton system (extracellular),222.273.peg.3827() AND 222.273.peg.845() AND 222.273.peg.1893(),,
CPLX_CYSabcpp-0,L-cysteine uptake via ABC system (periplasm),222.273.peg.2094() AND 222.273.peg.5056() AND 222.273.peg.5057(),,
CPLX_CYTBDpp-0,Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm),222.273.peg.1084() AND 222.273.peg.1085() AND 222.273.peg.5736(),,
CPLX_CYTBDpp-1,Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm),222.273.peg.5421() AND 222.273.peg.1085() AND 222.273.peg.5736(),,
CPLX_CYTBDpp-2,Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm),222.273.peg.5738() AND 222.273.peg.1085() AND 222.273.peg.5736(),,
CPLX_CYSabc2pp-0,L-cysteine export via ABC system (cytoplasm to periplasm),222.273.peg.2449() AND 222.273.peg.5734(),,
CPLX_BUTSO3abcpp-0,Butanesulfonate transport via ABC system (periplasm),222.273.peg.363(2) AND 222.273.peg.368(2) AND 222.273.peg.361(),,
CPLX_BUTSO3abcpp-1,Butanesulfonate transport via ABC system (periplasm),222.273.peg.2737() AND 222.273.peg.2740() AND 222.273.peg.2738(),,
CPLX_BUTSO3abcpp-2,Butanesulfonate transport via ABC system (periplasm),222.273.peg.2737() AND 222.273.peg.2740() AND 222.273.peg.2739(),,
CPLX_PHEMEabcpp-0,Protoheme transport via ABC system (periplasm),222.273.peg.2380() AND 222.273.peg.2384() AND 222.273.peg.2383() AND 222.273.peg.2382(),,
CPLX_PHEMEabcpp-1,Protoheme transport via ABC system (periplasm),222.273.peg.2382() AND 222.273.peg.2384() AND 222.273.peg.2383() AND 222.273.peg.2382(),,
CPLX_NHFRBO-0,NADH:flavorubredoxin oxidoreductase,222.273.peg.3010() AND 222.273.peg.636(),,
