Reaction	Metabolites	Stoichiometry
EAR80x1	nad	1.0
4Fe4S_to_IscA_by_IscU	pi	1.0
4Fe4S_to_IscA_by_IscU	IscU	1.0
4Fe4S_to_IscA_by_IscU	IscA_tetra	-1.0
4Fe4S_to_IscA_by_IscU	atp	-1.0
4Fe4S_to_IscA_by_IscU	IscU_mod_4fe4s(1)	-1.0
4Fe4S_to_IscA_by_IscU	IscA_tetra_mod_4fe4s(1)	1.0
4Fe4S_to_IscA_by_IscU	adp	1.0
MECDPDH52	2mecdp	-1.0
MECDPDH52	h	-1.0
MECDPDH52	FLAVODOXIN2-MONOMER_mod_Oxidized(1)	2.0
MECDPDH52	h2o	1.0
MECDPDH52	h2mb4p	1.0
MECDPDH52	FLAVODOXIN2-MONOMER	-2.0
UAGAAT1	u3aga	1.0
UAGAAT1	EG50003-MONOMER_mod_pan4p(1)	1.0
UAGAAT1	EG50003-MONOMER_mod_pan4p(1)_mod_3hmrs(1)	-1.0
UAGAAT1	uacgam	-1.0
OGMEACPS1	malcoame	-1.0
OGMEACPS1	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1.0
OGMEACPS1	h	-1.0
OGMEACPS1	coa	1.0
OGMEACPS1	co2	1.0
OGMEACPS1	EG50003-MONOMER_mod_pan4p(1)_mod_ogme(1)	1.0
4Fe4S_to_IscA_by_SufBCD	IscA_tetra_mod_4fe4s(1)	1.0
4Fe4S_to_IscA_by_SufBCD	CPLX0-1341	1.0
4Fe4S_to_IscA_by_SufBCD	CPLX0-1341_mod_4fe4s(1)	-1.0
4Fe4S_to_IscA_by_SufBCD	IscA_tetra	-1.0
3OAR1401	nadp	1.0
3OAR1401	h	-1.0
3OAR1401	nadph	-1.0
3OAR1401	EG50003-MONOMER_mod_pan4p(1)_mod_3hmrs(1)	1.0
3OAR1401	EG50003-MONOMER_mod_pan4p(1)_mod_3omrs(1)	-1.0
GRXR2	GRXB-MONOMER	1.0
GRXR2	gthox	1.0
GRXR2	GRXB-MONOMER_mod_Oxidized(1)	-1.0
GRXR2	gthrd	-2.0
GRXR3	CPLX0-7817_mod_Oxidized(1)	-1.0
