Transcription-Units	Genes of transcription unit	Direction
TU0-45246	G6849 // G6848 // G6847 // G6846 // G6845	+
TU0-12994	G6332	-
TU344	EG10061	-
TU0-13261	G6742	+
TU0-13024	G6374	+
TU0-6241	G0-9962	+
TU0-13869	EG12754 // G7622	-
TU0-6503	EG11149	+
TU0-8341	EG12356	+
TU0-8586	EG12228	+
TU0-14740	EG10694	-
TU0-8867	EG11214 // EG10237 // EG10244 // EG11215	-
TU0-8615	EG11410	-
TU0-13388	G6951 // G6950 // G6949 // G6948 // G6947 // G6946 // G6945	+
TU0-42652	EG30051	-
TU0-13418	G6996	+
TU0-13237	G6697	-
TU00105	EG10358	-
TU0-13052	EG12422	-
TU0-13983	EG11267	-
TU00133	G8210 // EG10969 // EG10970 // EG10971 // EG10972 // EG10974 // EG10973	+
TU0-14114	EG11927	+
TU0-6621	G6242	+
TU0-14145	G0-9562 // G0-41	+
TU0-8834	G6693	-
TU00488	EG10382 // EG11198	-
TU0-8645	G6995	-
TU00364	EG11883 // EG11884	+
TU00516	EG30037	-
TU0-13790	G7513	-
TU0-13446	G7030 // G7029 // G0-10539	-
TU0-13822	EG11824	+
TU00339	EG10891 // EG10886	-
TU0-14627	EG11018	+
TU00162	EG10759	-
TU0-13660	G7330	-
TU0-14662	EG11541	+
TU0-42516	EG11270	+
TU0-13636	G7292 // G7291 // G7290 // G7289 // G7288 // G7287	-
TU0-14174	G7884	+
TU0-42564	EG10116	-
TU0-12975	G0-10435 // G6306 // G6305 // G6304 // G6303	+
TU0-14393	EG10225	+
TU241	EG11433	-
TU0-14422	G0-10634	-
TU0-13006	EG11591	-
TU0-5782	G7533 // G7532 // EG10627	+
TU0-12816	EG12322	+
TU0-13852	G7599 // G7598	+
TU0-6409	EG10407	-
TU0-8568	G6416	+
TU0-3465	EG11877 // EG11876	+
TU0-14698	EG12241 // EG12240	+
TU0-36414	EG12712	-
TU0-8598	EG11713	-
TU0-13371	G6915	+
TU0-45230	EG10679	-
TU0-42604	EG11528	-
TU0-13402	G6972	+
TU00088	EG11041	+
TU0-8323	EG10774 // EG11294 // EG11293	-
TU0-13036	G6392	+
TU0-12840	EG11651 // EG11650	+
TU00117	EG10118 // EG10121 // EG10119 // EG10120	+
TU0-14091	EG11906 // EG11905 // EG11904	-
TU0-13220	G6668	+
TU0-6515	EG11058	+
TU0-14126	EG10405	+
TU00472	EG10920	+
TU0-8818	G6770	+
TU0-8628	G7945	+
TU0-45251	EG11531	+
TU00500	EG30016	+
TU0-13774	G7490	+
TU00322	EG11629 // EG11630 // EG11631 // EG11632	+
TU0-13430	G7010	+
TU0-13805	EG10419 // EG12366	+
TU0-14608	EG12316	+
TU0-13618	EG11145	-
TU00146	EG10185 // EG10194 // EG10186	-
TU0-8349	G6462	+
TU0-14642	EG10192	+
TU0-42493	G6825	-
TU0-14371	EG30105	+
TU0-14158	G7865	+
TU0-42535	G6755 // G6754 // G6753 // G6752 // G6751	+
TU0-12957	G6267 // G6266	+
TU0-12799	EG11566	+
TU102	EG10035	+
TU0-13244	G6722	+
TU0-12990	G6327	+
TU0-5523	EG10329	-
TU0-3302	EG10828	-
TU0-13834	G7574	-
TU0-6042	EG11104	+
TU0-8552	G6250	+
TU0-45216	EG10735 // EG10783 // EG10782 // EG10784 // EG10734	-
TU0-14677	EG11627 // EG11626 // EG11625 // EG11624	-
TU0-8840	G6104	+
TU0-8582	EG11184	+
TU0-13355	G6880	-
TU0-3163	EG10174 // EG10173	+
TU0-42581	EG10366 // EG10362	-
TU0-13383	G6932	+
TU00072	EG10037 // EG10029	-
TU0-45213	EG12440	+
TU0-13018	G6364	-
TU00347	EG10916 // EG10887 // EG10877 // EG10902 // EG10882 // EG10918 // EG10865 // EG10883 // EG10867 // EG10866 // EG10909	-
TU00100	EG10173 // EG10174	+
TU0-14070	EG11853 // EG11852 // EG11851 // EG11850	+
TU0-8241	EG10925 // EG11137	-
TU0-6484	G7837	-
TU0-14108	EG11922	-
TU00454	EG12142 // EG11623	+
TU0-13198	G0-10513 // G0-10512	+
TU0-8611	G7843	-
TU0-13642	G0-10463 // EG10208 // EG11147	+
TU00484	EG11279 // EG10811 // EG10805	-
TU0-13757	G7464	-
TU0-8795	G7961	+
TU0-13414	G6992	-
TU0-13786	G7508	+
TU0-14552	EG10725 // EG10724 // EG10723 // EG10722 // EG10721	-
TU0-13599	G7217	+
TU00129	EG10664	+
TU0-14402	EG10170	+
TU0-14619	G6551	+
TU0-42470	EG10829	+
TU00304	EG10610 // EG10609 // EG10608	-
TU0-14140	EG12178 // EG12176	-
TU0-42512	EG12629	-
TU0-12938	EG30027	+
TU0-14347	EG10015	-
TU00512	G0-16636 // EG30054 // G7991 // EG30039	-
TU0-12821	EG12331	+
TU0-12970	G0-10555	+
TU0-5183	EG10216 // EG10454 // EG11059	-
TU0-1196	EG10828 // EG10242	-
TU0-13818	EG12883	-
TU0-5682	G0-16680 // EG12241 // EG12240 // EG11544	+
TU0-8536	G6334	-
TU0-2707	EG10588	-
TU0-14654	EG10258 // EG10810	-
TU0-45236	EG10699	+
TU0-8564	EG11239	-
TU0-13337	G6850	+
TU0-45198	EG30075 // EG30082 // EG30035 // EG30089	-
TU0-42558	G7498	+
TU0-13367	G0-8876	-
TU00056	EG10792 // EG10795	-
TU0-13180	G6631	+
TU0-13002	EG12208	+
TU0-8330	G7061	+
TU00084	EG10897	-
TU0-14053	EG11481	+
TU0-8143	EG12100 // EG11797	+
TU0-6404	EG11337	-
TU0-14087	EG10763	-
TU00437	EG10896	+
TU0-8777	EG11753	-
TU0-8594	G0-10469	+
TU0-13227	EG10813	-
TU00468	EG10357 // EG10006	-
TU0-13739	EG12373	+
TU0-13582	G7188 // G7187	-
TU0-13398	G6966	+
TU0-13769	G7483	-
TU0-14530	EG30074 // EG30081	+
TU00285	EG11269 // EG10449 // EG10447 // EG10446 // EG10445 // EG10450 // EG10444 // EG10448 // EG10451	+
TU00113	EG10093	-
TU0-8824	G0-8901	+
TU0-14573	EG30050 // EG12095	-
TU0-42451	EG10059 // EG10058 // EG10057	-
TU0-14326	G7521	-
TU0-14122	EG11936 // EG11935	+
TU0-42484	G0-10737	+
TU0-12918	G6233 // EG12168	+
TU841	EG10137	+
TU00496	EG30062 // EG31117 // EG30060	+
TU00328	EG10822	-
TU0-12952	EG12623	-
TU0-4961	EG12563	-
TU0-1143	EG11784	-
TU0-13800	EG11160	-
TU0-5421	EG11101	-
TU0-8517	G0-8871	+
TU0-2447	G7002	-
TU0-14636	G7080	+
TU0-13625	G7265 // G7264 // G7263	+
TU0-8548	G6193	-
TU0-13321	G6829 // G6828 // G6827 // G6826	-
TU0-45182	EG10403 // EG10404 // EG11514	+
TU0-42530	G0-10752	+
TU0-13351	G0-9561	+
TU00040	EG11230	-
TU0-13163	G6608	+
TU0-12985	G6323	-
TU0-14377	EG11263 // G7701	-
TU00068	EG11042	+
TU0-14036	EG10413	-
TU0-7844	EG10919	-
TU0-5982	EG11050 // EG11048 // EG11049 // EG11046 // EG11047	-
TU0-14066	EG11843	-
TU00420	EG11381	-
TU0-8757	EG12694	-
TU0-8577	EG12794	+
TU0-12806	G0-10617 // EG11754 // G0-9941	+
TU00450	EG11035	-
TU0-13722	G7420 // G7419	+
TU0-13566	G7161 // G7160	-
TU0-13379	G6926	+
TU0-13751	EG11679 // EG12455	-
TU0-14511	EG10189	-
TU00268	EG10284 // EG11856 // EG11857 // EG11858	-
TU00096	EG11889 // EG11890	+
TU0-3401	G0-8872	-
TU0-14548	EG10435 // EG10436 // EG10437 // EG10438	+
TU0-4187	G0-9384 // EG11530	-
TU0-14307	EG11793	-
TU0-14104	EG11916	+
TU0-42465	EG10935	-
TU0-12897	G6192	+
TU783	EG10482 // EG10008	+
TU00480	EG10788 // EG10789 // EG10165	+
TU0-45221	EG11447	-
TU0-12934	EG13217	-
TU0-4786	EG10165	+
TU0-13967	EG12248	+
TU0-13782	G7500 // G7499	+
TU0-5121	EG11036 // EG10360	-
TU0-8500	EG11235	+
TU0-1	EG11318 // EG11317 // EG10277 // EG11437 // EG10890	+
TU0-14615	EG11704	-
TU0-8265	EG11775	-
TU0-8532	G6859	+
TU0-13303	G6810 // G6809	-
TU0-2041	EG20098	+
TU0-42508	EG11280	-
TU0-13333	G6839 // G6838	-
TU00024	EG10365	-
TU0-45166	G6607 // G6606 // G6605 // G6604	+
TU0-12966	G6290	+
TU0-13210	G6646 // EG11822 // EG10036 // EG12431 // G6645	+
TU00052	EG10727 // EG11401	+
TU0-1402	EG11833	-
TU0-13145	G6581 // G6580	-
TU0-5581	G7533 // G7532	+
TU0-14049	EG11470 // EG10739	+
TU00403	EG11972 // EG11973	-
TU0-7743	G6789	-
TU0-8560	EG12851	+
TU0-8809	EG10426	+
TU00433	EG11390	+
TU0-13703	G7385	-
TU0-8740	EG11538	-
TU0-13363	G6899 // G6898 // G6897	-
TU0-13735	EG11247	-
TU0-14489	EG10830 // EG11070 // EG11071	-
TU0-13550	G7147	+
TU00080	EG10280	+
TU0-8262	G7777	+
TU0-14525	EG11423 // EG11426	-
TU0-4161	EG10658	-
TU00252	EG12151 // EG12150 // EG13238	-
TU0-14078	EG11873	+
TU0-42252	EG12631	-
TU0-12881	G6167 // G0-10434	-
TU0-14290	G7662 // EG12802	+
TU00464	EG10757	-
TU0-13206	G2002 // G2001 // G2000 // EG12304 // EG12305	-
TU0-12914	G6230	+
TU0-45291	EG11006 // EG11005	+
TU67	EG11075 // EG11074	-
TU0-13765	G7474	+
TU0-4927	EG12380	+
TU0-8484	EG12060 // EG12061 // EG12062 // EG12064 // EG12067 // EG12143 // EG12068	-
TU0-13947	EG12221	+
TU0-14565	EG10435 // EG10436 // EG10437 // EG10438 // EG10595	+
TU0-8806	EG11102	+
TU0-8513	G6460	-
TU0-13286	G6775	-
TU-8419	EG11723 // EG11722	+
TU0-42480	EG10367	+
TU0-13316	G6819	+
TU00008	EG11039 // EG10078	-
TU0-1783	EG10589	+
TU0-12946	EG12843	+
TU00307	EG11740 // EG11739	-
TU00036	EG10524 // EG10526 // EG10527	-
TU0-14004	EG10965	+
TU0-4504	EG11957 // EG11958 // EG11959 // EG12458 // G7821	-
TU0-5321	G7212 // G7213	-
TU0-14032	EG11541	+
TU00387	EG12194 // EG12193	-
TU0-13128	G6558	-
TU0-8544	G6102	-
TU0-13605	G7232 // G7231 // G7230	+
TU00416	EG10402	-
TU0-13686	EG11782	+
TU0-7441	EG11319	+
TU0-13346	EG11038	+
TU0-13718	G7409	-
TU0-14466	EG10704 // G6234 // EG10666 // EG11322	+
TU0-8724	G7109	-
TU00064	EG10953	+
TU0-14354	EG10858	-
TU0-14503	EG10026	+
TU0-3721	EG11942 // EG11943 // EG11448	-
TU0-14062	EG11839 // EG11838	+
TU0-4183	EG11424 // EG11189 // EG12210 // EG10838	+
TU0-12865	G6139 // G6138 // G0-10537 // G6137 // EG12340	-
TU00446	EG10156	+
TU0-12785	G7954	+
TU0-12893	G0-10550	+
TU0-45273	EG10282 // EG10703 // EG10368	-
TU0-13747	EG10624	+
TU0-4742	EG10669	-
TU0-8456	EG10662 // G6876 // G6875 // G6874 // G6873 // G6872 // G6871 // G6870	+
TU0-14540	EG12301	+
TU0-3102	EG11031	+
TU0-8496	G0-9603	+
TU0-13268	G6755	+
TU0-42460	G0-8881 // G0-10715	-
TU0-13299	G6798 // G6799	-
TU0-9	EG11992	+
TU0-12928	EG11003	+
TU0-45204	EG10735 // EG10783 // EG10782 // EG10784	-
TU00020	EG10302 // EG10304 // EG10305 // EG10303	+
TU0-13989	EG11187 // EG10846	+
TU0-5062	EG11207	-
TU0-14016	EG11710 // EG11709 // EG11708	-
TU00370	EG11418 // EG11701	-
TU0-8527	EG10994	+
TU0-8150	EG11338	-
TU00399	EG11429	+
TU0-13667	EG11371 // EG11372	-
TU0-13329	EG11302 // EG11301 // EG11300	+
TU0-13699	G7381 // G7380 // G0-10464 // G7379 // G7378	+
TU0-14433	EG12242 // EG12243	-
TU00048	EG10669	-
TU0-8783	EG10212	-
TU0-14484	G7365	+
TU0-36423	EG30099	+
TU0-14045	EG11467	-
TU0-4021	G6639	-
TU0-12847	G6107	+
TU00429	EG10553	-
TU0-13588	G7194	+
TU0-12877	G6159	-
TU0-45257	G6543 // G6544 // G6545 // G6546	-
TU0-13730	G7437	-
TU0-45285	EG10542	+
TU0-8355	EG10329	-
TU0-14520	EG11044	-
TU00292	EG10517 // EG10516	-
TU0-8479	EG10050	+
TU0-13251	G6732	+
TU0-4205	G7610 // G7609	+
TU0-13281	EG11825	-
TU0-8846	G0-9041	-
TU0-12908	EG10428	-
TU0-14334	G0-8905	+
TU00004	EG10065 // EG10064 // EG11223	+
TU00354	EG10939 // EG10667	+
TU0-4905	EG10367	+
TU0-14000	EG11188	-
TU0-13649	G7318	-
TU0-8509	EG12154	+
TU869	EG10940 // EG10938 // EG11096	+
TU00383	EG10701	-
TU0-14408	EG11236	+
TU0-13312	G6815	+
TU0-13681	G7355	+
TU0-3623	G6777 // G6778 // G6779 // G6780 // G6781 // G6782	-
TU00032	EG10502 // EG10494 // EG11275	-
TU0-1186	EG30074 // EG30081 // EG30034 // EG30088	+
TU0-14460	EG10896	+
TU0-1283	EG10359	-
TU0-14028	EG11364 // EG11729 // EG11728	-
TU0-36440	EG10740	-
TU0-45242	EG11400 // EG11399 // EG11398	-
TU00411	EG10416	-
TU0-2521	G6414	-
TU0-12861	G6129	-
TU0-8337	EG11367	+
TU0-13713	G7406 // G7405	+
TU0-45269	EG30076 // EG30083 // EG30010 // EG30045 // EG30090	+
TU0-13233	EG11020	+
TU0-14499	EG10780	+
TU0-45188	EG10589	+
TU0-8375	EG11778	-
TU0-8830	G7900	-
TU0-41795	G6787 // G6788	-
TU0-13264	G6745	+
TU00335	EG10871 // EG10873 // EG10894 // EG10895	+
TU0-12889	EG11236	+
TU0-13170	G6617	+
TU0-8869	EG10237 // EG10244 // EG11215	-
TU0-13632	G7279 // G7278	+
TU0-4682	G7891 // EG12539 // G7892 // G7893	-
TU0-13985	EG12277	-
TU0-14388	EG10608	-
TU0-8492	EG10755	-
TU0-8001	EG10389	-
TU00366	EG10506 // EG11001	-
TU0-12811	EG12107 // EG12106 // EG11798	-
TU0-13294	G6795 // G6794 // G6793	-
TU0-13662	G7339 // G7338	-
TU0-3425	EG11665	-
TU00016	EG10170	+
TU0-8763	G0-8868	-
TU0-14424	G0-10609	+
TU0-45227	EG30091 // EG30103 // EG30073 // EG30080 // EG30009 // EG30044 // EG30087	-
TU0-14012	EG11691	-
TU0-36418	EG10735 // EG10783 // EG10782 // EG10784	-
TU0-8281	EG10851	+
TU00395	EG11554	-
TU0-13572	G7174	-
TU0-12842	G6099	-
TU0-13216	G6663	-
TU0-13695	G7372 // G7371 // G7370 // G7369	+
TU0-45253	EG10956	+
TU0-8814	G6954	+
TU0-14474	EG11067 // EG11413	-
TU00275	EG11347 // EG11654 // EG11656 // G377 // G378 // G379	+
TU0-8351	G6557	-
TU00316	EG11910 // EG11911	+
TU0-3963	EG10295 // EG10298 // EG10296	-
TU0-13246	G6725	+
TU0-13614	G7250 // G7249 // G7248 // G7247 // G7246	-
TU0-12873	G6151	-
TU0-14315	EG11982 // EG11981	-
TU0-8842	G7928	+
TU0-14366	EG12395 // G0-10441	+
TU0-45281	EG10163 // EG10020	-
TU00349	EG10878 // EG10893 // EG10903 // EG10910 // EG10912	-
TU0-14363	G6308	-
TU0-8475	G0-10591 // G6638	-
TU791	EG11146	-
TU0-13644	G7298 // G7297	-
TU0-12791	EG11512	-
TU0-13276	EG11760 // EG10010	+
TU0-14404	G0-10463 // EG10208	+
TU0-3141	EG11237	-
TU0-965	EG11879 // EG11880	-
TU0-13974	EG12266	+
TU0-3581	EG10452 // EG10007 // EG12125 // EG12124 // EG10072	-
TU0-4521	EG12630	-
TU0-13997	EG12295	-
TU0-12823	EG10225	+
TU0-8203	EG11244	-
TU00379	EG10701 // EG11258	-
TU0-1041	G0-16649 // G7816	+
TU0-45238	EG11330 // EG10361 // EG11329	+
TU0-13193	EG11125 // EG11126 // EG11127	-
TU0-13677	G0-17078 // EG11151	+
TU0-8332	G6893	-
TU0-8791	G6622	+
TU0-14454	EG12287 // EG12286 // EG12285 // EG12284 // EG12283 // EG12282 // EG12281 // EG12280 // EG12279	+
TU0-2261	EG12243	-
TU0-13229	G6679 // G0-10448	-
TU0-13594	G7209 // G7207 // G7206 // G7205 // G7204 // G7203	-
TU0-36433	EG11680 // G7665	+
TU0-8826	G6552	-
TU00300	EG11595 // EG11596 // EG11666 // EG11597 // EG11598	+
TU0-12855	EG11496 // G6119	+
TU0-45172	EG30099	+
TU00331	EG11980 // EG11979 // EG11978 // EG12411 // EG12412	-
TU0-14343	EG12780	+
TU0-45265	G0-10588 // EG11380 // EG11379 // EG10049	+
TU0-13627	EG50006 // EG50007 // G7271 // G7270 // EG12190	-
TU875	EG11030 // EG11871 // M004 // EG10204	-
TU0-8366	EG12261	-
TU0-13152	G6599 // EG11120	-
TU0-14381	EG11130 // EG11131 // EG10836	-
TU0-1192	EG30091 // EG30103 // EG30073 // EG30080 // EG30009 // EG30044 // EG30087	-
TU0-13259	EG12859	+
TU0-12808	EG10338	+
TU0-2649	EG12153	-
TU0-8864	G6879 // EG11043 // EG11487	-
TU0-7784	EG11233 // G6864	+
TU0-3421	G7241	+
TU0-45194	G0-10694	-
TU0-13981	G0-10467	-
TU0-45223	EG11013	+
TU0-13176	G6624	+
TU00362	EG10048 // EG10047 // EG10523 // EG10691 // EG10985	-
TU0-8746	G7416	-
TU0-8267	G6937	+
TU0-8083	EG10703	-
TU0-13658	EG10983	+
TU0-13212	G6657 // G0-10445 // G6656 // G6655 // G6654 // G6653 // G6652 // G6651 // G6650 // G6649 // G6648 // G6647	+
TU0-8769	EG10089	-
TU0-14420	G0-10610	+
TU0-13556	EG12045	+
TU0-8810	G0-9613	-
TU0-13578	G7182	+
TU0-36412	EG11374 // EG10690	-
TU00312	EG11751 // EG11752	-
TU00281	EG10410 // EG10409	-
TU0-12838	EG11736	+
TU00258	EG11440 // EG11268	+
TU0-8808	EG11449	-
TU0-14322	EG11413	-
TU0-4525	EG12080 // EG10823	-
TU00309	EG10510 // EG12111	-
TU797	EG30098	+
TU0-8346	G7727 // G7726 // G7724 // G7723 // EG12908	+
TU0-14296	EG11865	-
TU0-13607	G0-9621	+
TU0-1122	EG10234 // EG10233 // EG10232	+
TU0-13241	G6702	-
TU0-14356	EG10004	+
TU0-2422	G0-10689 // EG12525	+
TU0-8838	G7044	+
TU686	G7309 // G7308 // G7307 // G7306 // G7305 // G7304 // G7303 // G7302 // G7301 // G7300 // EG11282 // EG11150	+
TU0-12787	G6081	+
TU0-45178	EG10362	-
TU00345	G0-8895 // EG10901 // EG11033	+
TU0-3104	EG11887	+
TU0-13158	G6602	-
TU0-13640	EG12409	-
TU0-13953	EG12225	-
TU0-45206	EG10424	-
TU0-7821	EG12180	+
TU0-14398	EG10164	+
TU0-8181	EG10700	+
TU0-8753	G7553	+
TU0-1282	G0-10580 // EG10359 // EG10318	-
TU-8430	EG11548	+
TU0-13185	EG11342	+
TU0-13562	EG11668 // EG11667	+
TU0-45234	EG11391	+
TU0-8787	EG10231	+
TU00264	EG10673 // EG10268	-
TU0-8327	G7593	-
TU0-1841	EG11422	-
TU0-13590	G7197	-
TU0-14303	EG12031	+
TU0-13225	G6675	-
TU00295	EG11002 // EG12128	-
TU723	EG10625	+
TU0-8822	EG10748	+
TU0-45147	EG10678 // EG10677 // EG10676 // EG10675	+
TU0-14339	G0-17084 // EG10139 // G6092	+
