Transcription-Units	Genes of transcription unit	Direction
TU0-12943	EG12429 // EG10439	-
TU0-12910	G6224 // G6223 // G0-10529	-
TU0-5221	EG10523 // EG10691	-
TU0-14653	EG10258	-
TU0-4906	EG10367	+
TU00134	EG11045	+
TU0-8541	EG11649	-
TU0-8510	EG12216	-
TU0-13343	G0-17023 // G6858 // G6857	-
TU0-42552	EG13139	-
TU0-13313	G6816	-
TU0-14146	EG11211	+
TU00061	EG10807	+
TU00033	EG10503	-
TU0-14058	EG11832	+
TU0-13001	EG12179	+
TU0-14029	EG10375 // EG10376	-
TU00517	EG10505 // EG10665 // EG11179 // EG30061	-
TU00443	EG10703 // EG10368	-
TU00412	EG10309	+
TU0-13744	EG10786 // EG10824 // EG10826	-
TU0-6403	EG10206	+
TU0-13714	EG10418	-
TU0-13823	G7565 // G7564	+
TU0-14536	G7542 // EG20080	-
TU0-14500	G6236	-
TU0-42457	EG11447	-
TU0-8593	G0-10468	-
TU0-41801	EG11644	-
TU0-14663	EG11541	+
TU0-12925	G6241	-
TU0-12890	G6181	-
TU0-5021	EG12734 // G81	-
TU0-13395	G6964	-
TU0-4701	EG10524 // EG10526 // EG10527	-
TU0-42565	EG12042	-
TU0-8523	G6258	-
TU0-8493	EG10769	-
TU0-13326	G6832	+
TU00112	EG10091	+
TU0-13295	G6796	-
TU0-13007	EG11592	-
TU00045	G0-17088 // EG10642	+
TU00017	EG10221 // EG10219 // EG10220 // EG10222	+
TU0-14042	EG11202 // EG11069 // EG11201 // EG10209 // G0-10471	+
TU0-14121	EG11934	+
TU0-14013	EG11693	+
TU0-6422	EG10039	+
TU00426	EG10897	-
TU00396	EG11017	-
TU0-13727	G7431	+
TU00495	EG30110 // EG30113 // EG30114 // EG30056	+
TU0-13696	G7373	-
TU0-8599	EG11714	+
TU0-14516	G6447	+
TU0-14475	EG10730 // EG11218 // EG11217	+
TU0-4201	EG12424 // EG10761 // EG10427	+
TU0-13799	EG11159	-
TU0-3982	G7329	+
TU0-13403	G6973	+
TU0-12904	G6213 // G6212 // G0-10541	+
TU0-12874	G6152	-
TU0-4901	G0-16680 // EG11544	+
TU0-14635	G7080	+
TU0-45282	G0-16690 // G7347 // G7348 // EG12341 // EG11897	-
TU00118	EG10133	-
TU0-8505	EG11921	+
TU0-8476	EG30061	-
TU0-13308	EG11643	-
TU0-42529	G0-10751	+
TU0-13277	G6767	+
TU0-14127	EG11951	-
TU00029	EG10385 // EG10387 // EG10383	-
TU00001	EG10023 // EG10022 // EG10026	+
TU0-14025	EG11725	+
TU0-12983	G6317	+
TU0-13998	EG12298 // EG12297 // EG12296	+
TU00501	EG30065	+
TU00408	EG11109	-
TU00380	EG10701	-
TU0-13710	G7398 // G7397	+
TU0-5981	EG11050 // EG11048 // EG11049 // EG11046 // EG11047	-
TU0-13678	EG12446	+
TU0-13806	G7525 // G7524	+
TU0-14494	EG11362 // EG10230	-
TU0-14455	EG10542 // EG10159	+
TU0-41760	G6700 // G6701	-
TU0-8576	G7649	+
TU0-36435	EG11926 // EG11925 // EG11924 // EG11923	+
TU0-14643	EG12133	-
TU0-12886	G6175	+
TU0-12857	EG11091	+
TU0-4624	EG50005	-
TU0-13378	EG11133	-
TU0-45266	EG10681	+
TU0-42537	EG50003	+
TU0-8489	EG10696	+
