Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
NCTC13359_04005-MONOMER	Inner_Membrane	NCTC13359_04005()	Inner_Membrane	r
NCTC13359_01787-MONOMER	Inner_Membrane	NCTC13359_01787()	Inner_Membrane	r
NCTC13359_00808-MONOMER	Outer_Membrane	NCTC13359_00808()	Inner_Membrane	pa
CPLX_CMtpp-0	Outer_Membrane	NCTC13359_00808()	Inner_Membrane	pa
CPLX_MINCYCtpp-0	Outer_Membrane	NCTC13359_00808()	Inner_Membrane	pa
CPLX_RFAMPtpp-0	Outer_Membrane	NCTC13359_00808()	Inner_Membrane	pa
NCTC13359_03281-MONOMER	Inner_Membrane	NCTC13359_03281()	Inner_Membrane	r
NCTC13359_02538-MONOMER	Inner_Membrane	NCTC13359_02538()	Inner_Membrane	r
NCTC13359_02247-MONOMER	Inner_Membrane	NCTC13359_02247()	Inner_Membrane	r
NCTC13359_06111-MONOMER	Inner_Membrane	NCTC13359_06111()	Inner_Membrane	r
NCTC13359_00595-MONOMER	Inner_Membrane	NCTC13359_00595()	Inner_Membrane	r
NCTC13359_04662-MONOMER	Inner_Membrane	NCTC13359_04662()	Inner_Membrane	r
CPLX_CYTBO3_4pp_q8-0	Inner_Membrane	NCTC13359_04662()	Inner_Membrane	r
NCTC13359_01660-MONOMER	Periplasm	NCTC13359_01660()	Periplasm	s
NCTC13359_05856-MONOMER	Inner_Membrane	NCTC13359_05856()	Inner_Membrane	r
NCTC13359_05425-MONOMER	Inner_Membrane	NCTC13359_05425()	Inner_Membrane	r
NCTC13359_01480-MONOMER	Inner_Membrane	NCTC13359_01480()	Inner_Membrane	r
CPLX_CIO3pp_q8-0	Inner_Membrane	NCTC13359_01480()	Inner_Membrane	r
NCTC13359_01481-MONOMER	Inner_Membrane	NCTC13359_01481()	Inner_Membrane	r
CPLX_CIO3pp_q8-0	Inner_Membrane	NCTC13359_01481()	Inner_Membrane	r
NCTC13359_03827-MONOMER	Inner_Membrane	NCTC13359_03827()	Inner_Membrane	r
NCTC13359_00035-MONOMER	Inner_Membrane	NCTC13359_00035()	Inner_Membrane	r
NCTC13359_00275-MONOMER	Inner_Membrane	NCTC13359_00275()	Inner_Membrane	r
NCTC13359_01359-MONOMER	Inner_Membrane	NCTC13359_01359()	Inner_Membrane	r
