complex_id,name,genes,mod,replace
ZMO0273-MONOMER,,,LI(4) AND ca2(1),
ZMO0273-MONOMER,,,na1(4) AND mg2(1),
ZMO0273-MONOMER,,,na1(4) AND mn2(1),
ZMO0273-MONOMER,,,na1(4) AND cobalt2(1),
ZMO0273-MONOMER,,,na1(4) AND zn2(1),
ZMO0273-MONOMER,,,na1(4) AND cd2(1),
ZMO0273-MONOMER,,,na1(4) AND ni2(1),
ZMO0273-MONOMER,,,na1(4) AND ca2(1),
ZMO0296-MONOMER,,,zn2(2),
ZMO0327-MONOMER,,,pydx5p(1),
ZMO0329-MONOMER,,,mg2(1),
ZMO0332-MONOMER,,,mg2(1),
ZMO0363-MONOMER,,,zn2(6),
ZMO0403-MONOMER,,,mg2(1),
ZMO0408-MONOMER,,,pydx5p(1),
ZMO0421-MONOMER,,,pydx5p(1),
ZMO0433-MONOMER,,,mg2(1),
ZMO0442-MONOMER,,,mg2(1),
ZMO0474-MONOMER,,,mg2(1),
ZMO0482-MONOMER,,,mn2(1),
ZMO0497-MONOMER,,,mg2(1) AND cl(1),
ZMO0498-MONOMER,,,mg2(1),
ZMO0538-MONOMER,,,mg2(1),
ZMO0543-MONOMER,,,4fe4s(1),
ZMO0544-MONOMER,,,mn2(1),
ZMO0544-MONOMER,,,mg2(1),
ZMO0552-MONOMER,,,mg2(1),
ZMO0558-MONOMER,,,ca2(1) AND pqq(1),
ZMO0564-MONOMER,,,mg2(1),
ZMO0573-MONOMER,,,Oxidized(1),
ZMO0593-MONOMER,,,cobalt2(1) AND nad(1),
ZMO0594-MONOMER,,,mg2(1),
ZMO0594-MONOMER,,,mn2(1),
ZMO0594-MONOMER,,,cobalt2(1),
ZMO0594-MONOMER,,,fe2(1),
ZMO0594-MONOMER,,,ca2(1),
ZMO0594-MONOMER,,,k(1),
ZMO0661-MONOMER,,,zn2(4),
ZMO0676-MONOMER,,,pydx5p(1),
ZMO0677-MONOMER,,,mg2(1) AND mn2(1),
ZMO0709-MONOMER,,,k(1) AND mg2(1),
ZMO0714-MONOMER,,,mg2(5),
ZMO0728-MONOMER,,,acetyl(1),
ZMO0734-MONOMER,,,mg2(1),
ZMO0748-MONOMER,,,pydx5p(2),
ZMO0750-MONOMER,,,mg2(1),
ZMO0753-MONOMER,,,Oxidized(1),
ZMO0759-MONOMER,,,zn2(1),
ZMO0760-MONOMER,,,ni2(1),
ZMO0813-MONOMER,,,fe2(1),
ZMO0820-MONOMER,,,mg2(1),
ZMO0829-MONOMER,,,k(1) AND mg2(1),
ZMO0832-MONOMER,,,mg2(1),
ZMO0833-MONOMER,,,fad(1),
ZMO0843-MONOMER,,,mg2(1),
ZMO0851-MONOMER,,,fmn(1),
ZMO0854-MONOMER,,,mg2(1),
ZMO0855-MONOMER,,,mg2(1),
ZMO0855-MONOMER,,,mn2(1),
ZMO0913-MONOMER,,,pydx5p(6),
ZMO0913-MONOMER,,,pydx5p(1),
ZMO0918-MONOMER,,,hemed(6),
ZMO0937-MONOMER,,,pydx5p(1),
ZMO0939-MONOMER,,,zn2(1),
ZMO0941-MONOMER,,,nad(1),
ZMO0951-MONOMER,,,mn2(1),
ZMO0962-MONOMER,,,zn2(1),
ZMO0985-MONOMER,,,cobalt2(1),
ZMO0986-MONOMER,,,mg2(1),
ZMO1006-MONOMER,,,mg2(1),
ZMO1032-MONOMER,,,4fe4s(1),
ZMO1033-MONOMER,,,hco3(1),
ZMO1036-MONOMER,,,mg2(1),
ZMO1060-MONOMER,,,fe3(1),
ZMO1092-MONOMER,,,zn2(2),
ZMO1095-MONOMER,,,mg2(1),
ZMO1097-MONOMER,,,Oxidized(1),
ZMO1113-MONOMER,,,mg2(1) AND cu(1) AND fad(1),
ZMO1132-MONOMER,,,4fe4s(2),
ZMO1133-MONOMER,,,zn2(1),
ZMO1137-MONOMER,,,mg2(1),
ZMO1141-MONOMER,,,mg2(1),
ZMO1150-MONOMER,,,mn2(1),
ZMO1150-MONOMER,,,cobalt2(1),
ZMO1150-MONOMER,,,mg2(1),
ZMO1151-MONOMER,,,mg2(1) AND k(1),
ZMO1152-MONOMER,,,mg2(1),
ZMO1179-MONOMER,,,4fe4s(1),
