complex_id,name,genes,mod,replace
BSU17610-MONOMER,,,mg2(1),
BSU15680-MONOMER,,,mg2(1),
BSU17460-MONOMER,,,mn2(1),
BSU00770-MONOMER,,,mg2(1),
BSU00820-MONOMER,,,mg2(6),
BSU00820-MONOMER,,,lys__L(1),
BSU15020-MONOMER,,,mg2(1),
BSU06530-MONOMER,,,mg2(1),
CPLX8J2-16,,,fe2(1) AND fad(1),
BSU15430-MONOMER,,,zn2(2),
BSU06730-MONOMER,,,4fe4s(1),
BSU11220-MONOMER,,,pydx5p(1),
CPLX8J2-6,,,mg2(1),
CPLX8J2-6,,,mn2(1),
CPLX8J2-6,,,cobalt2(1),
CPLX8J2-6,,,cd2(1),
CPLX8J2-6,,,zn2(1),
BSU00130-MONOMER,,,mg2(1),
BSU00500-MONOMER,,,mg2(1),
BSU05900-MONOMER,,,mg2(1),
BSU00180-MONOMER,,,zn2(2),
BSU31990-MONOMER,,,mg2(1),
BSU02390-MONOMER,,,pydx5p(6),
BSU02390-MONOMER,,,pydx5p(1),
BSU13040-MONOMER,,,fad(1) AND pheme(1),
BSU39740-MONOMER,,,mg2(1),
BSU17600-MONOMER,,,mn2(1),
BSU02230-MONOMER,,,mg2(1),
BSU06620-MONOMER,,,mg2(1),
BSU00550-MONOMER,,,mg2(1),
BSU27330-MONOMER,,,mg2(1),
CPLX8J2-199,,,4fe4s(1) AND 2fe2s(1),
BSU30210-MONOMER,,,mg2(1),
BSU23500-MONOMER,,,mn2(1),
BSU22710-MONOMER,,,fmnh2(1),
BSU22710-MONOMER,,,fadh2(1),
BSU13180-MONOMER,,,zn2(1),
BSU17010-MONOMER,,,4fe4s(1),
BSU08690-MONOMER,,,mg2(1),
BSU30200-MONOMER,,,4fe4s(1) AND 2fe2s(1),
BSU22700-MONOMER,,,cobalt2(1) AND nad(1),
BSU22890-MONOMER,,,mg2(1),
BSU07830-MONOMER,,,fad(1),
BSU12300-MONOMER,,,zn2(1),
BSU37490-MONOMER,,,mn2(2),
CPLX8J2-19,,,pydx5p(1),
BSU37330-MONOMER,,,mg2(1),
BSU12290-MONOMER,,,mg2(1) AND cu(1) AND fad(1),
BSU22430-MONOMER,,,mg2(1),
BSU07330-MONOMER,,,mn2(1),
BSU15860-MONOMER,,,4fe4s(1),
BSU15460-MONOMER,,,mg2(1),
BSU15700-MONOMER,,,fmn(1),
BSU15700-MONOMER,,,mg2(1),
BSU00900-MONOMER,,,mg2(1),
BSU00900-MONOMER,,,mn2(1),
BSU00900-MONOMER,,,cobalt2(1),
CPLX8J2-40,,,mg2(1),
CPLX8J2-40,,,mn2(1),
BSU38490-MONOMER,,,mg2(1),
BSU25070-MONOMER,,,mn2(1),
BSU00580-MONOMER,,,mg2(1),
BSU00910-MONOMER,,,mn2(1),
BSU06500-MONOMER,,,k(1) AND mg2(1),
BSU00790-MONOMER,,,mg2(1),
BSU14670-MONOMER,,,mg2(1),
BSU30940-MONOMER,,,pydx5p(1),
BSU32410-MONOMER,,,cobalt2(1) AND zn2(1),
BSU32410-MONOMER,,,mn2(1) AND zn2(1),
BSU32410-MONOMER,,,ni2(1) AND zn2(1),
BSU35660-MONOMER,,,nad(1),
BSU24270-MONOMER,,,thmpp(1),
BSU28270-MONOMER,,,mg2(1) AND mn2(1),
BSU35010-MONOMER,,,zn2(1),
BSU28560-MONOMER,,,mg2(1),
BSU32240-MONOMER,,,k(1) AND mg2(1),
BSU27600-MONOMER,,,mn2(1),
BSU14260-MONOMER,,,mg2(1),
BSU14260-MONOMER,,,mn2(1),
BSU09620-MONOMER,,,mg2(1),
BSU30970-MONOMER,,,mg2(1),
BSU08910-MONOMER,,,adocbl(1),
BSU08910-MONOMER,,,4fe4s(2),
BSU34900-MONOMER,,,mg2(1),
BSU34900-MONOMER,,,mn2(1),
BSU09290-MONOMER,,,mg2(1),
BSU09290-MONOMER,,,mn2(1),
BSU04620-MONOMER,,,mg2(1),
BSU04620-MONOMER,,,mn2(1),
BSU16550-MONOMER,,,mn2(1),
BSU16550-MONOMER,,,cobalt2(1),
BSU16550-MONOMER,,,mg2(1),
BSU30300-MONOMER,,,mn2(1),
BSU31180-MONOMER,,,mn2(1),
BSU02510-MONOMER,,,fe2(1),
BSU37890-MONOMER,,,pydx5p(1),
BSU39010-MONOMER,,,zn2(2),
BSU24280-MONOMER,,,mg2(1),
BSU24280-MONOMER,,,mn2(1),
BSU17890-MONOMER,,,thmpp(1) AND mn2(1) AND mg2(1),
BSU30540-MONOMER,,,mg2(1),
BSU15920-MONOMER,,,pan4p(1),
BSU15920-MONOMER,,,pan4p(1) AND ac(1),
BSU15920-MONOMER,,,pan4p(1) AND mal(1),
BSU15920-MONOMER,,,pan4p(1) AND but2e(1),
BSU15920-MONOMER,,,pan4p(1) AND act(1),
BSU15920-MONOMER,,,pan4p(1) AND but(1),
BSU15920-MONOMER,,,pan4p(1) AND 3ha(1),
BSU15920-MONOMER,,,pan4p(1) AND egme(1),
BSU15920-MONOMER,,,pan4p(1) AND ogme(1),
BSU15920-MONOMER,,,pan4p(1) AND gme(1),
BSU15920-MONOMER,,,pan4p(1) AND hgme(1),
BSU15920-MONOMER,,,pan4p(1) AND thex2e(1),
BSU15920-MONOMER,,,pan4p(1) AND 3ohex(1),
BSU15920-MONOMER,,,pan4p(1) AND hex(1),
BSU15920-MONOMER,,,pan4p(1) AND 3hhex(1),
BSU15920-MONOMER,,,pan4p(1) AND pim(1),
BSU15920-MONOMER,,,pan4p(1) AND epme(1),
BSU15920-MONOMER,,,pan4p(1) AND opme(1),
BSU15920-MONOMER,,,pan4p(1) AND pme(1),
BSU15920-MONOMER,,,pan4p(1) AND hpme(1),
BSU15920-MONOMER,,,pan4p(1) AND toct2e(1),
BSU15920-MONOMER,,,pan4p(1) AND 3ooct(1),
