Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
HNE05_01865-MONOMER	Outer_Membrane	HNE05_01865()	Outer_Membrane	pla
HNE05_14335-MONOMER	Outer_Membrane	HNE05_14335()	Outer_Membrane	pla
HNE05_17935-MONOMER	Inner_Membrane	HNE05_17935()	Inner_Membrane	ra
HNE05_20245-MONOMER	Periplasm	HNE05_20245()	Periplasm	s
HNE05_19195-MONOMER	Inner_Membrane	HNE05_19195()	Inner_Membrane	r
HNE05_14465-MONOMER	Inner_Membrane	HNE05_14465()	Inner_Membrane	r
HNE05_02190-MONOMER	Periplasm	HNE05_02190()	Periplasm	t
HNE05_06435-MONOMER	Inner_Membrane	HNE05_06435()	Inner_Membrane	s
HNE05_00675-MONOMER	Inner_Membrane	HNE05_00675()	Inner_Membrane	s
HNE05_15065-MONOMER	Membrane	HNE05_15065()	Membrane	s
HNE05_10840-MONOMER	Membrane	HNE05_10840()	Membrane	s
HNE05_09255-MONOMER	Membrane	HNE05_09255()	Membrane	s
HNE05_19360-MONOMER	Inner_Membrane	HNE05_19360()	Inner_Membrane	s
HNE05_04165-MONOMER	Inner_Membrane	HNE05_04165()	Inner_Membrane	s
HNE05_11155-MONOMER	Inner_Membrane	HNE05_11155()	Inner_Membrane	s
HNE05_11480-MONOMER	Inner_Membrane	HNE05_11480()	Inner_Membrane	s
HNE05_18855-MONOMER	Inner_Membrane	HNE05_18855()	Inner_Membrane	s
HNE05_10995-MONOMER	Inner_Membrane	HNE05_10995()	Inner_Membrane	s
HNE05_15075-MONOMER	Inner_Membrane	HNE05_15075()	Inner_Membrane	s
HNE05_02755-MONOMER	Membrane	HNE05_02755()	Membrane	s
HNE05_15305-MONOMER	Inner_Membrane	HNE05_15305()	Inner_Membrane	s
HNE05_12380-MONOMER	Inner_Membrane	HNE05_12380()	Inner_Membrane	s
HNE05_12985-MONOMER	Inner_Membrane	HNE05_12985()	Inner_Membrane	s
HNE05_03120-MONOMER	Inner_Membrane	HNE05_03120()	Inner_Membrane	s
HNE05_16560-MONOMER	Inner_Membrane	HNE05_16560()	Inner_Membrane	s
CPLX_APSR-0	Inner_Membrane	HNE05_16560()	Inner_Membrane	s
CPLX_METSOXR1-0	Inner_Membrane	HNE05_16560()	Inner_Membrane	s
CPLX_RNDR1-0	Inner_Membrane	HNE05_16560()	Inner_Membrane	s
CPLX_THIORDXi-0	Inner_Membrane	HNE05_16560()	Inner_Membrane	s
CPLX_THIORDXi-2	Inner_Membrane	HNE05_16560()	Inner_Membrane	s
CPLX_THIORDXi-4	Inner_Membrane	HNE05_16560()	Inner_Membrane	s
CPLX_TRDR-0	Inner_Membrane	HNE05_16560()	Inner_Membrane	s
CPLX_TRDR-1	Inner_Membrane	HNE05_16560()	Inner_Membrane	s
HNE05_13770-MONOMER	Membrane	HNE05_13770()	Membrane	s
HNE05_14145-MONOMER	Membrane	HNE05_14145()	Membrane	s
HNE05_03015-MONOMER	Membrane	HNE05_03015()	Membrane	s
HNE05_05375-MONOMER	Membrane	HNE05_05375()	Membrane	s
HNE05_04790-MONOMER	Inner_Membrane	HNE05_04790()	Inner_Membrane	s
HNE05_11660-MONOMER	Inner_Membrane	HNE05_11660()	Inner_Membrane	s
HNE05_20405-MONOMER	Membrane	HNE05_20405()	Membrane	s
HNE05_14210-MONOMER	Membrane	HNE05_14210()	Membrane	s
HNE05_17940-MONOMER	Inner_Membrane	HNE05_17940()	Inner_Membrane	s
HNE05_10625-MONOMER	Inner_Membrane	HNE05_10625()	Inner_Membrane	s
HNE05_14625-MONOMER	Membrane	HNE05_14625()	Membrane	s
HNE05_15350-MONOMER	Inner_Membrane	HNE05_15350()	Inner_Membrane	s
HNE05_03300-MONOMER	Inner_Membrane	HNE05_03300()	Inner_Membrane	s
HNE05_05970-MONOMER	Inner_Membrane	HNE05_05970()	Inner_Membrane	s
HNE05_13010-MONOMER	Membrane	HNE05_13010()	Membrane	s
HNE05_09580-MONOMER	Inner_Membrane	HNE05_09580()	Inner_Membrane	s
HNE05_13895-MONOMER	Inner_Membrane	HNE05_13895()	Inner_Membrane	s
HNE05_03265-MONOMER	Inner_Membrane	HNE05_03265()	Inner_Membrane	s
HNE05_01705-MONOMER	Inner_Membrane	HNE05_01705()	Inner_Membrane	s
HNE05_16645-MONOMER	Inner_Membrane	HNE05_16645()	Inner_Membrane	s
HNE05_14230-MONOMER	Membrane	HNE05_14230()	Membrane	s
HNE05_15410-MONOMER	Inner_Membrane	HNE05_15410()	Inner_Membrane	s
HNE05_16555-MONOMER	Membrane	HNE05_16555()	Membrane	s
HNE05_06020-MONOMER	Membrane	HNE05_06020()	Membrane	s
HNE05_05765-MONOMER	Inner_Membrane	HNE05_05765()	Inner_Membrane	s
HNE05_03335-MONOMER	Membrane	HNE05_03335()	Membrane	s
HNE05_19890-MONOMER	Membrane	HNE05_19890()	Membrane	s
HNE05_11865-MONOMER	Inner_Membrane	HNE05_11865()	Inner_Membrane	s
HNE05_16550-MONOMER	Inner_Membrane	HNE05_16550()	Inner_Membrane	s
CPLX_OPHBDC-0	Inner_Membrane	HNE05_16550()	Inner_Membrane	s
HNE05_15170-MONOMER	Membrane	HNE05_15170()	Membrane	s
HNE05_11305-MONOMER	Membrane	HNE05_11305()	Membrane	s
HNE05_18490-MONOMER	Membrane	HNE05_18490()	Membrane	s
HNE05_06050-MONOMER	Membrane	HNE05_06050()	Membrane	s
HNE05_15270-MONOMER	Inner_Membrane	HNE05_15270()	Inner_Membrane	s
HNE05_16565-MONOMER	Inner_Membrane	HNE05_16565()	Inner_Membrane	s
HNE05_00110-MONOMER	Membrane	HNE05_00110()	Membrane	s
HNE05_09785-MONOMER	Membrane	HNE05_09785()	Membrane	s
HNE05_14260-MONOMER	Membrane	HNE05_14260()	Membrane	s
HNE05_10950-MONOMER	Membrane	HNE05_10950()	Membrane	s
HNE05_01910-MONOMER	Inner_Membrane	HNE05_01910()	Inner_Membrane	s
HNE05_03845-MONOMER	Inner_Membrane	HNE05_03845()	Inner_Membrane	s
HNE05_10125-MONOMER	Inner_Membrane	HNE05_10125()	Inner_Membrane	s
HNE05_11975-MONOMER	Membrane	HNE05_11975()	Membrane	s
HNE05_17525-MONOMER	Periplasm	HNE05_17525()	Periplasm	s
HNE05_03240-MONOMER	Membrane	HNE05_03240()	Membrane	s
HNE05_00120-MONOMER	Inner_Membrane	HNE05_00120()	Inner_Membrane	s
HNE05_11960-MONOMER	Periplasm	HNE05_11960()	Periplasm	s
HNE05_08610-MONOMER	Periplasm	HNE05_08610()	Periplasm	s
HNE05_14315-MONOMER	Inner_Membrane	HNE05_14315()	Inner_Membrane	s
HNE05_02640-MONOMER	Inner_Membrane	HNE05_02640()	Inner_Membrane	s
HNE05_20395-MONOMER	Inner_Membrane	HNE05_20395()	Inner_Membrane	s
HNE05_19415-MONOMER	Inner_Membrane	HNE05_19415()	Inner_Membrane	s
HNE05_09080-MONOMER	Membrane	HNE05_09080()	Membrane	s
HNE05_14310-MONOMER	Membrane	HNE05_14310()	Membrane	s
HNE05_18460-MONOMER	Inner_Membrane	HNE05_18460()	Inner_Membrane	s
HNE05_07655-MONOMER	Membrane	HNE05_07655()	Membrane	s
HNE05_16570-MONOMER	Outer_Membrane	HNE05_16570()	Outer_Membrane	s
HNE05_13855-MONOMER	Inner_Membrane	HNE05_13855()	Inner_Membrane	s
HNE05_19345-MONOMER	Inner_Membrane	HNE05_19345()	Inner_Membrane	s
